There are 4672 factions playing the game of thrones
bgedfca adfbceg
cdafebg acfgbde
ebcfadg fedbcag
efgdbac fbdcgea
bfcdaeg cbfegda
gecafdb cfbaged
efgadbc cbaegfd
bdaegcf acdebfg
aebfcdg facbged
dfbaecg gefacdb
defbcga dcebfga
cbfeagd afdebgc
gfcdabe acdbgfe
acfbged dagbecf
baedcfg cgedabf
fgcbead bdgfcae
cefagbd acgdebf
gdeafcb aegbdcf
abfgced fgecdba
gdacbfe bacfged
bfedcag bfgecda
cfbedga cbaefgd
fabgecd bgdcfea
ceabdgf cefabdg
egdabfc efcdabg
abdegfc bcdgfea
edacgfb ebacgfd
bacefgd cefadbg
ecbafgd bgaecdf
abcdgef acgbfde
cfeagbd decbfag
cbedgfa bcefdga
bafdgec adecgbf
gcfabde egdbacf
bgdfeca bgadecf
gdafbce befadgc
gdeabcf gacdfeb
fbdgcae ebgacfd
cadebgf cfbgdea
fdagebc edfbgac
ebdafgc gfabedc
adgfceb egdbfac
cfgabde abdgfec
bfcgaed eadfcgb
ecgbafd febagdc
bfdecag fcgebad
egbcfad afcedbg
ecagdbf dgbcfea
bcagfed edbfcga
gbfcaed fbegdca
ebacgdf gadefbc
acfgbde acgdefb
degfbac fbgdcea
gedbcfa cagebdf
bgeafdc fbecgad
agcebdf cdbefga
febgcad fegacbd
fcbagde bgcedaf
acfgbed cfbgade
fdeagbc egfbcad
bfagedc bdfecag
abecgfd agdecbf
fcgebda dbfaegc
egacfdb gbafdce
gbcdfae fgaebcd
edfbcag debfgca
cdbaegf bedgcfa
cebafgd gceabfd
bdfgace gdfeabc
ebagdfc cfgabed
dcfaebg gcaefdb
agcfdbe gbfecad
fdgaceb degbacf
badfgce badecfg
deabcfg efcdgba
fgaebdc bfcedag
efbcgda cfgbdae
fdbaegc agefcbd
gfbceda degacfb
cgaefbd gecdfba
dafgbce fcdbgea
bcgadfe gcbfdea
febdgac fadbceg
fegcbda befdgac
geadbcf fdcbaeg
gebfacd efcbdga
fgedacb geafcdb
eafbdgc ecgfdba
fbgedca cebdfga
edagcfb feabcgd
ecagbdf dgfbeca
gfaecdb gfbdcae
dagefcb ecgadfb
bafdgec adecgbf
cbegfad egbadfc
abgefcd ecdbafg
fbaecgd abcedgf
bfdaceg cdgafeb
eacfgdb cegbfad
facdebg eadgcfb
bedfgac gadcefb
ecgdbaf dgcefba
cgdabef gaedbfc
gcdfeba gcfeadb
fcgdbae aedgcfb
afdgebc cfdageb
fbcedga gfcdeab
ebfgcda cfegadb
bfgeadc abfdgec
gcbfdea gfbecda
fdagbce efabgdc
dagfcbe eafbdgc
dfbcaeg gcdbafe
bdeagfc abdcefg
dfbceag dbacgfe
adefbgc fdebagc
badfcge dacgfeb
geafdbc dbcgefa
agbfedc gefbdac
facedgb gdeacbf
debfcag gabedcf
egfbcad abegfcd
agecdbf egbfdac
efbagdc dfgcbea
fcbdage bcgfaed
caegbfd bdacgef
dgcabfe fcdabeg
dgafecb eagfcdb
aebdgfc egcbadf
dcfagbe bgdafce
gbcadfe gbafecd
fbgdaec bcdefga
aefbcgd gfaedcb
agfbdec dfaegcb
ebcgafd dgafebc
agdfecb agdfecb
fdcebag dabfcge
dbgfeca bdceafg
gcbedaf agebfcd
fcbedag gbcdafe
acdegbf fdbgcae
eadbcgf dcaefgb
afdecgb cdefagb
fbecagd gfdecba
dbacgfe cbgafed
fdgaceb degbacf
aegcdbf gecdabf
fadbegc aedfbcg
cabgfed feabdgc
beadgcf gbdacfe
cfdageb dbacgef
bgefdca cbgdfea
fcbadeg gacdbef
fdgbaec cadfegb
caedgfb cfegbda
egfdbca dgebfca
feacgbd eadcbfg
abgfcde aedcgfb
afdebcg beagfdc
gfcbdae dcgfbae
abfegdc gfcbade
agbecdf cfegbad
gadbcfe gdbfeac
dcbgeaf egfadbc
dabfgec cebfgad
bcedfga adebfcg
bfacdge cbdefga
abdgecf fecbadg
cdeagbf efbdcga
ebcgfda cgdeabf
edfcbga cgabfde
caedgfb cfegbda
dbcfgae bgdaefc
gabecfd cefgbad
fbgaedc fedabcg
ebcagfd acgefdb
cfadegb fabcdge
befgacd fbdgeca
beafdcg egacfdb
fgbadce gedbafc
dgafceb debfgac
ecgdfba gcdbefa
fcdgaeb fcbgead
dgcbefa fdegbca
abfdegc aegdcbf
afedcbg gdabfec
dgcfabe fagbdce
fgcbead bdgfcae
afgbced gdeabcf
bceadgf cfdbeag
acgbfde bfedagc
bcefagd dfacbeg
fcgdbae aedgcfb
dbcegaf aebfdcg
eabdfcg edfgcab
gdcbafe fedbcga
fdcgbae fcabedg
ecgadbf fbadecg
edabfgc gfbecad
gbcdfea eafdbcg
fdbgaec febdgca
fbdagec agfbdec
aecgbdf cgbfade
dgbfcae cagbdfe
aegdcfb beacdgf
abegcdf bedafgc
dgfbeca dfcgabe
fcgebda dbfaegc
fdabgec defacbg
dfagceb cegbdaf
fbeacdg cabfdge
bgcefad dafgcbe
gbfeacd edcbgfa
fgeabcd bdfaecg
dgeafbc bfdecag
dabgfce ebfdgca
degcabf gbdfaec
aefgcdb adecbgf
efdabgc aefbcdg
edfacbg geabfdc
gcdfeab abcdegf
fdbaecg ecafgbd
aegdbcf acegbdf
fdceagb gdcebaf
adgcfeb dcgfabe
cfaegbd fgdabec
fcdgaeb fcbgead
ebgdacf aecdgfb
bfdceag dgcbfae
beafgdc efbcdag
bacdfeg bcfdaeg
acbdegf gbcfaed
bcgedfa dfagecb
dgeacfb ecfbgad
gfecbda edfcgab
bcfgade bgfdeac
becafdg bcdgeaf
befadcg cgbadef
ebcgadf gbeadfc
acdgfeb adegcfb
bfcdage dbafcge
afcgdbe bfgcdea
cgafedb fcgbead
adbfegc ecbdgfa
gacdbfe befgdca
ebcfgad fgcbead
ceabgdf cdgebfa
decafbg fcdgeba
adgbfec fgcdabe
agcdbfe gecfdba
aedgbfc bfdcgae
dfbagce fbcegad
gebdfac cfaedbg
gfeabcd bcagefd
degfbac fbgdcea
gdcfeba acbefgd
cagdbef dgabcfe
fgbceda bdcefga
dfebcga dbefacg
dcabgef badcegf
aebdcgf gedacbf
afegcbd cfgdeba
eadfgbc bdcgefa
dbfeagc fedacbg
agfecbd fedgcab
edacbgf cfdebga
adbcegf bdfcage
edbagcf cgefbda
feacbdg efgbdca
acegbdf bgdecaf
cbdfgea bdgefac
eagdcfb fcbdgae
ecfdagb dfgeabc
fdacgeb badfegc
eagdcbf dcbfage
aegfbdc fdcebag
edabcgf eacdbgf
gfacbde bfgcead
gecfabd gbdcefa
ecabgdf dgcbafe
acgedfb gdafbec
gfbcade fbdaegc
fcegdba bacfegd
fbacdeg efdagcb
afcgebd dcafbge
fdbecag fgceadb
ebcfdga cdbfega
dbacfge gebfdac
eagbcdf cbdagef
dafbecg fdecabg
acfdegb bfgeadc
bgefadc agdcbfe
bgecdfa befcgad
ecdfgab cgafebd
gfdebac afebcgd
cfgadbe cadfebg
ecfagbd dacfgbe
gbaedfc faedbgc
cgafdeb gfedcab
cebgfda fecgadb
caefdgb defbacg
gdebacf gcdfbea
dfcbaeg cfaebdg
facdgeb bgdeafc
fgebcda gabdecf
geafdbc dbcgefa
cbegfad egbadfc
defbcga dcebfga
gadbfce adfcgeb
bacdgfe dagefbc
eadgfbc fadbgec
dafbgce dbeagcf
fabgecd bgdcfea
gdbfcea gacbfed
cgaedbf aecbgfd
edgcbfa cegbadf
fgedcba fdbagec
cbdfgea bdgefac
cagdebf gaecfbd
edcabgf fgabcde
gbfdace geafbcd
fegdcba becdagf
bedcfag cbgadfe
eagdcfb fcbdgae
abfcegd egfcabd
fagdbce abgcefd
dacbegf ebdagfc
ceagdfb dfgcabe
defgbac efdbgca
gbdface dfagcbe
cfabgde bceafgd
dfbegca bdfegca
fgcedba gcbafde
gceabdf cedbfag
bdgcfea dfgceba
cfegdba fedcagb
bcadgfe gcabefd
ecgfabd agcebfd
fdebacg agbefcd
efdbagc gfeabcd
dgfcbea afdbegc
daegfcb eacbgfd
gdbcafe bceagdf
eadgfbc fadbgec
bcefdga bdcfage
gdbafec fcegabd
eacfdgb dbfcaeg
cfagbde gcabfde
gcdaebf cgebfda
agdfceb fcgdeab
adgfebc dacfebg
dcfeabg fcdgbae
gabdfec cfagedb
abcgefd aecdfgb
afedcgb cfgeadb
dbfgaec fdagcbe
cfagdeb gdfaebc
fdabgce dbegcaf
dbgeafc cabefgd
agfecdb bgcfdae
fcgebda dbfaegc
ceadfbg cebdafg
bcgedfa dfagecb
bfdecga edgfbca
gdeafbc cdgbeaf
bgdfcea afgebcd
adebgfc bacdgef
fdaegbc ecabgfd
cfbaged facgdeb
bcfaged bfdgcea
afdcgbe afecbgd
aegbfcd cgefabd
efdcgab dafbgce
egbfacd cgfeabd
cfdgbea dcgfeab
fgbcdea cgfadbe
fgdebca bfacdeg
gdafbec fdabecg
bacfgde agecfdb
abgefcd ecdbafg
bfdgeca cdgbafe
fdgaceb degbacf
becfgda edfbcag
bagfdce dfeagcb
cfadgbe dgbaecf
dbfcega fedagbc
gfedbac gcdbfea
gbaedfc faedbgc
bfceadg efagdcb
faecdgb gafdebc
aedgbfc bfdcgae
dgfbace gbeacfd
gdaebfc fdcgbea
cdgefba cbadgef
ebdacfg fecdgba
fgcdbae gdbfcea
fbacgde cgfbade
cagedbf aefdcgb
gdcfbae gbfaecd
abdcfeg cebdfag
gbecadf ecbfdag
beacfdg defagbc
fdbagec cadgebf
gdcbaef dbagfec
afcgebd dcafbge
dfaebgc bacdfge
ebdgafc dfabegc
agcbedf aefdcbg
fecbgda fcdbage
aefbcdg bfdagec
dfabcge dbgcfae
efdacgb gcaedfb
bdfcaeg fabcdeg
befcgad bgfaced
dcebagf bdagfce
afegbdc eabcgdf
ecabdfg facbdge
dcagbfe efdagbc
cedbfga bfcegda
adgefcb efcagdb
dcagbfe efdagbc
bgeafdc fbecgad
befgdac dcfegab
dgabefc gedcbaf
agfbdce cdebfga
fcadgeb dgfebac
ecfadgb ebadfcg
daefcbg cbedfga
aedgfcb gbadefc
fagbedc fabecdg
ecfdabg dcebafg
dgfcbea afdbegc
fbdcega gacfebd
ebfacgd bgeadfc
gdefcba dfcbgea
afedcbg gdabfec
cdfegba gecafdb
fcdabge efdbcag
debacgf eadgbfc
agebcfd egfcbda
fgdaecb bdgefca
bafedgc abfgedc
gfcbdae dcgfbae
gebacfd gebdafc
bcfeadg geadcfb
gdebacf gcdfbea
caedbfg fgbaedc
cbgefad dfgeacb
aebdgcf cagbdef
ebfcgad fdcbgea
ebdcagf fecgdba
egbdafc acdfbeg
afdegbc gcbdfea
degcfba gfdebac
bfcaged ecdabgf
gefbdca gebacfd
dbeafcg fdegacb
debcagf aegdbcf
cedgafb fbgaced
gdabecf egdabfc
edcfbga egbfdca
bdcaefg cbedgfa
cfgadeb gefcdba
fgeacbd adcfebg
cfbedga cbaefgd
eagbcfd facbgde
dafcebg bacgdfe
aebcgfd fcebdag
acbdgef dafecgb
baecfgd bgfecad
dagcbfe cgbeafd
eabfgdc efdabcg
efcdabg gafcbed
becdfga fgdecab
egcbdfa afgbecd
ebgdfac fdgacbe
dbfcgea cedfgab
ecadgbf cagdfbe
feagdbc cbefdag
edagfcb bdefgca
gbfedac agebcfd
fbcadeg fecabgd
acdfebg cfagbde
gebdcfa gbcaedf
acbefdg fbagecd
gadbefc cfeadgb
aefdbgc ebcfgad
ecgbafd febagdc
fdabecg bdfagec
cgabefd bfdcage
fdagebc edfbgac
fecbgad cbgefad
gfeadbc gfbedca
gceadbf dcebgaf
gbfcdea gcdaefb
ebdafgc gfabedc
fbgedac badfecg
gcefbda ebgfdca
gbdcafe ecfgdab
cefdbga geafdcb
fcgeadb acbdefg
eadgcfb facebgd
aefgcdb adecbgf
ecadfgb cabegfd
gedfbac egdcafb
feabdgc gebfadc
aedcbgf agdebcf
agdcefb faebcdg
bcaefdg bcdgaef
gcdaebf cgebfda
edgcbaf gcbfdae
gbedacf bfgadec
cagbefd ecbdagf
fdbagce fdecgba
dfbegca bdfegca
gcafedb dgfecba
dgcfeab cfebdga
fdeabgc egbdfca
gbcdeaf daebgcf
cfbagde efdcbag
edbcafg adgbcfe
aecbdfg cbdaegf
acfegdb dgfecab
agcefdb dbcfeag
fbcadeg fecabgd
gbfceda efcbgda
cdabefg fedcbga
cfagedb ecfdagb
begafdc bfegacd
dbegfca fgdacbe
bfcedga fgadcbe
fdgecab beagdcf
degbcfa dafcebg
eabgdfc bgdcaef
bdecfag fabegcd
fgbcaed efbadcg
afgdbec cefdabg
cgdaefb ceabdgf
ebagcdf gadcfeb
dbcaefg agdbcef
fecdabg fdgcbae
fedacgb dbefgac
dcafebg cfgbaed
cfdbeag aecdbgf
gabfecd cedgfab
cgaebfd gdeafcb
dcefbga dacfegb
ecfgbda fbgadec
bcfgdea acefbdg
afecbdg abedfgc
baefgcd gbcafed
bedagcf abfedcg
abdecfg adcgefb
ceadgfb afgecdb
cgbdaef gbcdeaf
adcebgf cdbfgae
cgfaebd fabcedg
aecfgdb dcbgfea
bdafceg fcbegad
acebfdg aebcgfd
fdcgaeb agebcdf
agecfdb fdgaebc
ebdfcga befacdg
gcefdab bdcgafe
fgbadec beagdfc
fbdaceg fdgabce
gbdafce caegbfd
edbagfc cgedfba
abfcdge aebgcfd
fegacbd egdfacb
fcdaegb gfecbda
fcadgeb dgfebac
efdacbg bgfceda
gefabdc gafebcd
cabgfed feabdgc
bagedcf defcgba
cdafgbe cfgabde
gfaedcb feacbgd
fdcbeag cedgbaf
abgfcde aedcgfb
dfeabcg adgebcf
adbefcg eagbfdc
egcbfda fcagebd
dcfbgea dbcagfe
begdacf edagcfb
cfgaebd afbgdce
dfacbeg bfdagce
bcgadfe gcbfdea
fcgbead bdagecf
fgacedb bedcgfa
bcegadf cdfaegb
decbgfa bcdafeg
adbfecg edbcafg
afcbged badgfec
bfcdage dbafcge
dafgbec dgafcbe
eacfbgd bfagcde
dcfbgea dbcagfe
fgbceda bdcefga
bcegdfa afbdegc
baecgfd cegafbd
fgadcbe fagcbed
fcbedag gbcdafe
ebfacgd bgeadfc
bcdeafg cdebgfa
bfagced fgbeadc
bgfeadc cgfbeda
fgdcabe agcfdeb
dfacgeb cbgdefa
bafecdg bacefdg
cgfdeba cgebadf
ebgdcfa dcbfaeg
adgbcef agbcedf
bgadefc agefbcd
gfdcaeb aebcdfg
cdagfeb fdgeacb
gcfdabe dbgfeca
eadfcbg ebagdfc
defagbc dabcfge
cfaegbd fgdabec
fgaebdc bfcedag
gfdecba gbfdcea
dfgeabc dcabegf
baegcfd gfbcdea
fcbadge dgbefac
cdbfage dcbefag
ebafdgc gcadefb
dfegbca dcgbfea
fdgcbae edcagfb
defcbga bgadefc
egacbfd dgeacbf
adcgebf dbfaecg
gdacbef degfbac
gcdabfe gedcfab
gebafdc dgbefca
fcdbeag gedfbac
dgcfaeb gbdefac
eafgbcd cdgafbe
afgbecd beadfgc
abcfdeg dgbcefa
gcfbdae fcgadeb
ebdcgaf efcadbg
dfcaebg ebfcdag
caebgfd degfacb
dcbafge bgeadcf
dcfbega cbdefag
egdcfab bfdgeac
fedbagc aecfbgd
baefgcd gbcafed
cegfdab egafbcd
agdbecf egafdcb
cegfbda fbdegca
eacgdfb aefbgdc
cgefbda bdefagc
efdbgca decfagb
fecabdg cebfdag
dgaecbf bdagfec
ebgcfad cedafgb
gadefcb daecgfb
gdbfeca fagcdeb
dcfabeg bgeacfd
feagbcd dgcebaf
dgbeacf dcagfeb
gbfedca egfbadc
ecgdabf bcfeagd
aebfgdc acfedbg
bdaefcg aedfgcb
acbegdf dabecgf
edcgabf ecbdfga
edfabcg baecfgd
fgaebcd cgdabfe
acbdfeg eacgfbd
fcdbage dcfgbae
dgfeacb gbdcfea
ecfabdg dbaegcf
ebcgadf gbeadfc
edcbagf dgabcef
decfbag dcegabf
fecgdab dbfcega
gcfbead bcefgad
dfcegab gcfdbea
edbgafc dbgfaec
fbdagec agfbdec
dbacfge gebfdac
abgcfed aefbgcd
cbefagd fbgdace
gfdaecb bedcfga
bfegdac gaedfbc
ecgfbda fabdegc
dcegabf bfdaecg
adgbcfe cfabegd
bdgcfae abgcfde
cfgdbea adbgcef
gafecdb edagfcb
cabfgde gcebdfa
fcdaegb gfecbda
cfdaebg aedfgbc
agdefbc bgadfec
dfbaceg cgdbafe
agebdfc eabdfgc
badfceg aefgbcd
dcbgaef fdgaecb
gfacbde bfgcead
afgdceb bcegadf
dafbegc bfecgda
fgbcaed efbadcg
bfcedga fgadcbe
dagcfbe afcbdge
fdgbaec cadfegb
fcdgbea ebagfcd
cfbgeda beafdcg
eafdcgb bgafdce
faegbcd faedcgb
bcgfaed cebadfg
fgdceba efgbcda
edgcabf edgcfab
dbgface aefdbcg
eacdfgb gdfceab
eadfcgb cfegdab
gabecfd cefgbad
decbfag aecbdgf
cfdabge dbgeacf
cfedgab gadfebc
adfebgc edgfacb
cbgefad dfgeacb
eacdgbf bagfdce
befacdg begcafd
ecabfdg fcdbaeg
egcafbd badcefg
gcdebfa agbefdc
adecgbf dfbcgea
becagdf cgabfed
cbgeafd gbdaefc
cebdgfa fedbagc
gcfeabd badfcge
abefdgc geacfdb
fcdebga bgcadef
ebcdagf fgeacbd
adcbfge fbcegda
fbdecag afcbegd
gecbafd acgbedf
ecdbgaf edcafbg
aedcbfg cefgdab
bagcefd gdceafb
aegcdfb fdcbage
dabgfec ecgfadb
ecdfbag gfeadcb
fbcgead febadgc
gcfadbe aegcbdf
cebfgad degcbaf
acbdefg bcgefda
afdebcg beagfdc
ebdacfg fecdgba
fcgdbea egdafbc
ebadgfc dgfeacb
fbceagd fgbcade
bdfgeac gdecfba
facebdg egfdbca
degbcaf acbfdge
dgbcaef abfdceg
fdbegca dgcfbea
gfedcba dafgceb
cagbdef gdbcefa
dbcafeg gcdfeba
bfecgda adcbfeg
caegbdf gbadcfe
degabcf efcgdab
badcegf dfabceg
bdafcge dcefgba
ebcfadg fedbcag
fcadbeg eabcdfg
daefbgc faedcbg
efadbgc bcdfage
edacgbf dfecbag
efbdacg acgfdbe
gdbefca fcaebgd
bagdfec dcegfab
ceadfgb dafbcge
cbgadef ecfdgab
abcgfed cagfedb
dcgfabe cdagbfe
debcafg bcagdef
gecdbaf edacgfb
bdafcge dcefgba
eagdfcb cegdbaf
acegbdf bgdecaf
debgfca fgdbeca
cebdgfa fedbagc
ebdacfg fecdgba
dbegfac fcgbdea
dbcfgea ecabfgd
gcdabef fabgcde
cbaefdg abcfegd
afbdecg aebgdfc
cfbagde efdcbag
fbcaegd egdbafc
dfgbace egcfbad
gadbcef cbdgeaf
cfbdage cfgebda
adbcgfe cbfaedg
dfebcag fdecagb
afcbged badgfec
efdbgca decfagb
dgcfbae bgfeadc
dcgbeaf edafcbg
ebacgfd fadcebg
ceadgbf bfdcaeg
gacfdbe fgcdaeb
bcgfdea dfgecab
acbdfge dabcegf
gebfcda efgcadb
cfegbda edgacfb
dgfceba bfceagd
eadgfbc fadbgec
fcdageb efadbgc
gefbdca gebacfd
bafecgd bfdgaec
cbefgda bacgefd
agcfbde bdgeafc
afegdbc dbefcga
aefdgbc agecdbf
gbcdfae fgaebcd
cabedgf egabdcf
agedbfc gebafcd
fdacgbe gbdfcae
fedcabg cdbefag
afdgcbe agedbcf
ebdacfg fecdgba
bgfcaed bcaegdf
fagbecd cegabdf
afgdbec cefdabg
ebgcfda fbdegac
gebcadf dgafecb
fcdeabg dabgfec
gcefdba bfdacge
fecadbg cedbfga
abecgfd agdecbf
efbdacg acgfdbe
cbedafg egacbdf
edafgbc fgadebc
dafcbeg gfacbde
aebdgfc egcbadf
dfgaecb dbcfega
adfcebg bgcdaef
agcfbde bdgeafc
decbgfa bcdafeg
bgecafd begacfd
cdbgefa acfgdeb
bdfgaec efdbgac
fcdegba bdegfca
eabdfcg edfgcab
efgdbca gfbaecd
egbdfac efgbadc
adfcegb gcdaebf
edgbacf bgafdec
bfacgde gfaebcd
cdgfabe abdegfc
gadebfc gdeacfb
bgacedf afbdecg
fabcdge fagecdb
ebcafgd aegbcdf
cbfdgea febgadc
egcabfd afgbedc
gdbcafe bceagdf
bcagfde gefdcab
adcbfge fbcegda
adcbgef cfbdgea
efcbgda fgcabed
agbdfec bafedcg
acfedgb cfgaedb
egfcadb fdaegbc
egdcafb dbfgaec
cbdaefg bgcfade
cebfagd cfbedga
cfgdbea adbgcef
febcagd gbcfade
dagbefc fdcgbae
faebcdg gabcdfe
dgaebfc fgacdeb
fegadbc caedfgb
bcegfda afcbged
efgbdca gebfdca
acgebfd cbfgdea
fcdeagb aegfdbc
bgeafdc fbecgad
bdgecaf fceadbg
facgbed bfecgad
acfbdeg fbgedca
agedfbc cdgbaef
cadgfbe dgbface
cfbadge eacfgbd
cefabdg fegadcb
dfbcega acebgdf
bgdceaf fadgecb
gefcabd dabgefc
agfbcde bdfaceg
bdacefg efacbdg
cefgdba bdfcaeg
efdgacb cfbeadg
cbfaegd egcdbaf
ebfgacd efdacbg
gdabcef dgcafbe
eadgbfc agdcfbe
efbagcd gaebcdf
agcdefb gcefadb
abefgdc bcgdeaf
efbcgad cfgedba
debacfg fegcadb
bfgedac bedfcag
eagdbcf gefadcb
fgbcaed efbadcg
cgbdafe adfecbg
ebgcfda fbdegac
edgcbfa cegbadf
dbfecag bafegdc
dagcfbe afcbdge
gdbeacf cbfadge
dbcfgea ecabfgd
bfcdgea dafgbec
adgfebc dacfebg
cedfbga fgacbde
bedcgfa agbfcde
edagfbc fbgceda
bgdefac efdcagb
adgebcf bedacfg
gcbfead eacfbgd
cebdagf afgcdeb
daefgbc afcegbd
aegdfcb gaefdcb
cefagbd acgdebf
fdacegb adefcgb
eabgdfc bgdcaef
cgefdab gcdeafb
ceadfbg cebdafg
febcgad fgedcab
dfgceab adcgbfe
bfdcgae fcaedbg
edacbgf cfdebga
acfdgeb dbagcef
gdcaefb fbgcead
cdefabg egfacbd
efacgdb cebagdf
gefdbac gdecbaf
fdgaecb fbgeadc
gdcfeab dbgafec
fbdacge afgcebd
bgedcfa cdbeafg
cgbdfea bcdfgea
bcdagef ebfcgad
begdfca fcegbad
bgdfcae bgfcead
gfbdeac adgefbc
decgbfa aedgfbc
afdgceb aedfcbg
beacdgf fgdcbea
cbagdef bgcaedf
agfcdeb cbagdfe
bcfaegd cabgdfe
adbcfge dgecafb
dafcbge afbcdge
gbecdaf beagcdf
dgaefcb ecabdgf
gdcbafe fedbcga
faebcdg gabcdfe
acgbdef dfeagbc
fbcdaeg adcbgef
cedfgab cbegadf
cfabedg gedabfc
ecfbdga bagdfec
gbdacef eacgdfb
agdcbef dafbceg
beafdcg egacfdb
gbcefda dgebfac
fbdgeac edgfabc
dgabfce abgefcd
baedfcg cfbgead
cbadegf gabfcde
begfacd cgfedab
bacfdge eabdgfc
eacfgdb cegbfad
dfbagec adbecgf
dbcgeaf bcgedfa
cafgdeb egfbdca
dfaebgc bacdfge
fagbedc fabecdg
bgecdaf edfcagb
baecdgf cdeafbg
ebgdfac fdgacbe
fcdbega cbafegd
dbfecga ecgafdb
ecfdbag edfagbc
cbegfda daegcbf
dcgfbea dafbgec
adefcbg dcaebfg
agfcbed fdcagbe
decafbg fcdgeba
abfgcde abfdcge
afegcdb fcgbeda
dgeacfb ecfbgad
acbegdf dabecgf
befagcd eadgfcb
degacbf efcdgab
agfcdbe edcagbf
ebgdacf aecdgfb
fgcabed cedbgfa
dafcgbe dcbeagf
fegacdb cgdebfa
cgabfde edgfcba
aecfdgb gadfcbe
ecadbfg dgfaebc
ceafbdg afbcged
baegdcf gfcedab
bdfgcea fbagedc
abefdgc geacfdb
ebfcadg agdbecf
bacdefg bfcdgae
bcgdfae abgedcf
eafcbgd cfbadge
dcbefga dfaebcg
badfecg bafdecg
eagfdbc fdceabg
eagdbfc abdfgec
deacfbg bacegfd
fgdabce acgebfd
cgadbfe bdgcfea
gbfcdae cdfagbe
gabcefd baecgdf
dfcbaeg cfaebdg
efbdgac badgcfe
efagcdb bcagdfe
gbfadce dgbecaf
dafgbce fcdbgea
bafegcd caebfgd
acbgfde ecfgabd
bedfagc abdecgf
dbcgeaf bcgedfa
ebafdgc gcadefb
bcedagf efcgabd
decagbf fbadgec
cagbdef gdbcefa
dcagbfe efdagbc
dgfecab cdfabge
agcfebd fcbaegd
efgbdca gebfdca
gbdeacf gcdfabe
adcgfbe cbgadef
gbaefdc ebgcfda
bfecadg acbegfd
dgfaceb abefcdg
cgdbafe dacgbef
cbefadg eagcfdb
eabfgcd egfcdba
aebcgdf agedfbc
afdbcge afgcbde
gdafecb bafcgde
cdabfge fcdgbea
dbceafg cfdgabe
ecdbagf ebdgfac
egabdfc fdebgac
fagecbd gbfaedc
cfagedb ecfdagb
agefdcb gcdebaf
eacfdgb dbfcaeg
caedbfg fgbaedc
fgcdbea fegabcd
dfcagbe dbgcafe
edafgbc fgadebc
bcefdga bdcfage
dgfbcae bgacfed
gebcadf dgafecb
decgbaf fgcbeda
fgcbdae cdbgefa
edgcafb bgcfaed
cdfgbae fecbgda
ebacgdf gadefbc
ecbadgf bcgfdea
dgfbeca dfcgabe
edafcgb febcdag
gceadfb bfadceg
acgfdbe edfabcg
gafcbde efdbacg
dbecgfa deagbfc
geafbdc egdcbaf
abgfdec gebdacf
cgdbfae dagcebf
ebdfgac gabfedc
ceagbdf gefdabc
cafbgde dgaebfc
aegfdcb gedafcb
fcadbeg eabcdfg
gcfdeba gedcbfa
gcdafbe fagbcde
cegfabd afecgbd
edagbcf cdgeafb
fgeabdc bdeafgc
cgfeadb dagbfce
aefdcbg gceabdf
dbfgaec fdagcbe
gfcbade cafdegb
