There are 9257 factions playing the game of thrones
cbhfjgdiea daehcbigfj
aebcjdighf jiedfhacgb
afchdjibge ihbfjdagce
hcdjegaibf ihebgacjfd
ebfjcdhiga ihgjecabfd
acegbijhdf fgbcijhdea
igafhjebdc dicebfajhg
jedciahgfb iegjadcbhf
ihbaegjfdc eidjcahbgf
dcjaebfigh gfaechbdji
iadgbfchje hegjcfdabi
abehdjcgfi aceigbjhfd
debhfgajci hfebgjicad
cdjafbhgei cidbjhefag
bigjdahcfe egdcahfibj
ecdihfbjga hdjiagefbc
idabfgjhce gacbhdfiej
bcgiehjadf bedijcgfah
hbaigjfecd chbdjagief
ifcdeaghjb cagdjibhfe
icjbhdegfa eidgafhcjb
ghjfdiacbe hdicfabgje
befaicjhdg gaciejdfbh
gcadibjefh abhjgicfde
faghjedibc jcagiefbdh
fcbaihdgej jbidhfgcae
dhfbaijecg ahiecgjdbf
fgdicejbah cdbhjeaigf
jbhidecagf cdfhjagebi
edcfhjabgi jhdfigabce
cjbfegahid bfhjeiacgd
eibfhdajcg agejhidbfc
dcfabjegih idcfgbjhae
habcifgjde gbcijehadf
bgdcahfeij abcjfidehg
ahgdfejcib hiecgbdjaf
jagcefhidb idjhagfceb
eacifdgbjh ejcagbhifd
ifcdeaghjb cagdjibhfe
bhjdieafgc giecahfjbd
ajfihedbgc ighacjfbde
jaecgfidhb ehdgbjfcia
bgdhcjeiaf hjdacbifeg
hbgjadfice bfiahcdgje
icgfjdhbae jdfecgbhia
acgeifdjbh eahfjidgbc
bfceidgajh jcegfadbih
hcbaiejdfg iadfjbecgh
fabjdcghei gjiahedfbc
ecigbfajdh cfbdgaheij
jhcdfieabg djbifeahcg
fabgejdcih iebjdgchaf
djfhbeaigc acibedjghf
jfbeghcdia adehfjbgic
eabfgdhcji abdfchgjie
hiebgdfjac dhciabefgj
fcjbehidag gchjbifaed
icfjbegahd ejhfcbgaid
jeachidgfb bjaehgfidc
fjabceihgd ehafigdjbc
ehcigajfbd dfjcghibae
gabjdiefhc jedgiahfcb
gfehcajdbi ehgfcdibja
aifcedgjhb hiajfbcdge
jegifcdabh fhjiedbcga
hcfbaidgje dhafjebicg
edbahgjcfi fdacjibghe
hbejcfdgai ebjdgcahfi
cagijhebfd hfgacbjide
jgabifechd bjceafhgid
acbeghjfid hebcidfajg
jdbgahcfie jfegbcaihd
abjdgecfih iabfdjegch
hbdaijfegc gehifcbdja
hidfecjgba cihfdgajeb
cfbhjaidge hgibcaedfj
djfhcbigae ebfdhijagc
cafdbhejgi ejfgdaicbh
jdghceifab hcfeibajdg
dihbfgecja ejgbcfdhai
ficabhdgej jhidbfacge
hdgjfabcie ecjhagfidb
caejfbdghi bgjhifacde
icbhafjgde acjhgfibde
dfcegjhbai bdijahgcfe
gfichdeabj ebfgjidhac
dfjiegahbc ghidcafebj
jebficdhga gbhifajced
acbhjgedfi ehfdbagijc
hgcdbjifea bcahidjgef
cdiebfjahg cbedhaigfj
afiedcbjhg igbehjfdca
jabgfeidch iedbcgfajh
ahiebcfdgj higfjdceab
chbeijgfda ciebagjfhd
ahebcjdigf bfdihcgaje
eadcgjhbif fjgdcehabi
bdeijfhagc djecibagfh
aejbfgicdh eafdjchgbi
aehdcfjibg bhgecjaidf
hdiecfgjab gidbhfejca
igehjdafbc cgeabhidjf
ijcfhdagbe afdiejbghc
bcdighfaej hfdcaibejg
dbacigjefh ahfdciebjg
daigjecfhb ciejghbadf
egjhdfiacb gbidhcfjae
ajcfdihgeb bgfihedjac
afhcbeigjd feiagjdbch
fbcjdaiegh ehgdjfciba
fjgacdbehi gjfdehciba
ceajifbhgd ajebhidfgc
igjebdfahc fhdbgecija
afghbcjeid bgfaciejhd
dahbifjecg chiegdjabf
fhbegdaijc gcehfaijbd
deacgjfbih eiahcbfdjg
jbhegadfic aghjdbiecf
fijehcabgd ejdgbaihfc
bfihjcadeg bhejgfcdai
afdjehgbic efgaicbhdj
iefcghjbda cbgfiadhje
cdgbfaiejh bgeahicfjd
chgfbajied dhgjebacif
cfdibjaghe idahfjegcb
hfigcajdeb ejdghibafc
cahigbdejf ceiadjbhfg
icfagdhbej beaihcgfdj
adhgebijcf ifgbhdecja
hfaciedgbj iegabhdfjc
fhdaiejgcb hicfdgjbea
jecgdibfha icgjfadbeh
eaghcbjdif gijhbacedf
bcfhgiedja iafegbchdj
bgdafihjec abehicjdgf
bfjahgiedc idgcbfeajh
hiceagfjbd jifebdhcga
gfiedbacjh fabehcijgd
gcejadbfhi hfbceaigjd
ibjafhdecg bfjdcgaieh
efabghdjic cjfdabgieh
ebhdgacfij debjcaighf
diachgfjbe dgeihbjcfa
bahedifjgc idhjecgabf
hgiacfjebd cidabhjfeg
gedjcaifbh agfedihcjb
cfjdhaibeg ihfjcbagde
bajehgidfc eacgfjhdbi
egafjhdcib bifhjcdgae
fbdjgceiah jgicfbedah
biedhcjgfa hiabgfedjc
fchgbiajed haedjcfgib
fidjebachg gdcheifajb
hcajigbdef jbheigfacd
cbeijahdgf bjdfhcagei
bheajgdfic jaidgbechf
idcjbhgfae ceigfhbjad
ijchbegdaf cibhfedjga
bgdijecfha dgebchijfa
efgcjibadh jdahebgcif
jdefahgbic fabijhedgc
eidjbgachf cjefadhigb
ijbhgfedca fahgdcjibe
eidcfhgjab chjgadifbe
bgicjhfaed hcajgbifed
jifdaecbhg gebcdfhija
ehgjbifacd edaghbcjif
gaehidcfbj debfaghcij
ghfdajecib chgaefbdij
dajgbefchi ediagcfjbh
hfdeajbigc bicadjghef
dgbafjhiec eagjbicfhd
hidejgafcb dcgfeajbih
ejicbafghd hjifgacdbe
faicehgjdb ijfdhaegbc
cfgheaibjd bhejcgafid
cdgejhbfia acbfijehdg
fcbdiahegj gejfbdiahc
jheidgfbca dgfjecibha
hajbcefigd bhgicjafde
heajdfcgib edibfhacgj
jegafhidcb dabjfhgeic
ebdcgjfiah eijafgbhcd
hfgdcebaij gaibecjhdf
fiagdhejcb dgeafihcjb
fbcaidghje fbcdjahegi
cghidabfje dbaecgjihf
jefbidachg dgjfcahbie
jcifedhabg bcajigedhf
fihbcdgaej hjfiacdbge
bcegfajhid cgbfiadhje
bicegfdjah jeabdcfhgi
ahbfjidecg gjihabcefd
jieagbfhdc bjaidghefc
chgbfdajei ghieabjcfd
hafbedgicj jfihacebgd
cfhabgjied jcgedhiafb
ehdbagjcfi bjhdfgiace
jcifbaghed beachdfigj
dbcfjeigah gcibdfejha
icfgdjaehb hbcagdefji
fhjbdicage ajeihcfdgb
badgifjhce dciegbfajh
hjgdcieafb hjgacdbfei
gicfdbaehj begfdicahj
cedjhfabgi higcdajfbe
fbciagjehd efgjbcdiah
cgfbhjdaie hagcidbejf
bjdghicfae ahcfeigjdb
ecahdjgifb fcgahbedji
gbeihfjdac cbdfiahegj
fehjidbcga fdebihajgc
deihcgbjfa bacfhgidej
icfgdjaehb hbcagdefji
deifcabhjg cfgadijehb
agdjhicfeb dcfhaegibj
hidgabjcfe ijgcbfheda
dfjceahbgi igacjbfehd
bfdaihjcge cigfebjdah
adehjfbcgi icdafgbjhe
hedcjaigbf djbafcehig
ehbjfdcgai agbcdjfhie
cjigefhabd aiefdgbjhc
agjefcdhbi jhadegfbci
hfdbegjcai ibchfgjeda
giheajfcbd efcbgjidha
jbidcahfeg hbajicegdf
icjagefhdb fahcjgdbei
efgicdbjah jcedfhabgi
dacjgefhib dbiejafcgh
acbedhifjg gadjhfecbi
gecjfadihb edifcjbahg
dhfbaijecg ahiecgjdbf
hfajdiecbg ghbfejcaid
hafjeibdgc fheidcjgba
ibehacfdjg daifegjchb
idbeagjchf cjafdihebg
cfdgebjhai bfcidhegja
ebadijcfhg ahijgcedbf
cjdifhaegb ajdfecibgh
dgbeicjafh biehgdfcja
jhfebdaicg aifebjdhgc
jcagiefdhb bfhedacgji
cfghieadbj bchagdefji
ibjgefhdac abgfdehijc
dbheijcgaf dgehibfcja
bhdajceigf efhdbcjgia
fhdaiejgcb hicfdgjbea
ebfdgachij eagdifbchj
hcejfabdig fdebhcijga
hefagidcbj cbfhdejgia
bhjgeafdci jfdehcabig
djehigabcf fhciebjdga
jefdchgabi ehbjcdaifg
bacdigfhje jebifgdhac
hgbfidjace ijbhceagfd
daehcbfgij bdjgfiache
ihafjbdecg bicgefhjda
gfjhbdceia cgdibjehaf
gdchibjaef egcfdjibah
ecfdahgbji iajghfebcd
gjafeihbcd gchfabdjie
aehdcfjibg bhgecjaidf
ahdgfbecji ahbdfegjic
djiafgbech ijhgbcdfea
bhacdgjefi bfcjihdgea
cbagfheidj cdfahgijbe
ejfacghidb fhajbegicd
djfbaghcie ejcfbhdiag
ajhbcegfid ehbjgidcaf
ebidagfjhc fdgcabhjei
bhcaegfjid jahbgidecf
ceihjdabgf ghbicjdfea
dahbcgijef cagjhfiedb
bcjeahfgdi ebjdgficha
bdhcefjgia edhfgciajb
idjbefgcah afhiebdgcj
gbdajeichf ifaeghdcjb
gdfacjiehb heacgdfjbi
fejdhigbac abcijhgedf
jbfhagicde ifchabedgj
jaeigbfhdc bicehfjdag
hbijdefcag aicbejfhdg
fhcaijbegd hdjgiefacb
djhgfabice bcfgaheijd
bchedajgfi hbjgicdafe
jdgbacfehi chieajgfbd
aecbjdihgf eifbahjgdc
ejcaghifdb ghjfbediac
iajehcgbfd acdgjibehf
haigfdjcbe jbfihacdeg
dfbhjaigec fdjaegchib
ifbheacjgd fgbiajcdeh
afcjgibhde efhcgiadjb
cjaifedhgb abejghdifc
aecjihfgdb hafgjdbcie
fadgcibjeh cdiajbhfge
efhbcagidj bcgdeafjhi
bicfdeaghj hbedgfijca
jgbcdfeahi iajbfehdgc
ehcdjbgifa difcaghbej
cgdihabejf figbjadech
bjhaecigdf ghiajecbdf
aibdgjhfce giabecjdfh
bjgcedahfi jhcdgaebfi
jcebfaidhg hicebjfadg
dbhejgcafi fbcahjdegi
jefbahgdci aecjdgihbf
afcjgidbhe eidhfacjgb
biceadfjhg afcbhegidj
cfghieadbj bchagdefji
fcdhbejaig bjcahifgde
eficjagdbh cfdihbgaje
ghcabfedji gjeifahcdb
fdejbihagc gafdjebhci
jbefhcidag abgchjidfe
bjghfidaec aecgbidjfh
hdifgbcaej befacgihdj
dajgbefchi ediagcfjbh
hcjafbeigd iefchbgadj
ebgdcjfhai ahijfbedcg
bhdeajgicf giecabfdhj
dbjgfihcea efjdhcgbai
dfhecgjbia ibhjdeacgf
hgjeicadfb fbghdecjia
gebijdhafc ehibagfcjd
cijfheagdb dcaehgjfib
igefdachjb ajgfdiehcb
cjihgafedb fchaidbejg
djfaegihbc bcaiefjhgd
ejcbhagifd ghcjaiebdf
eihacjbdgf gehcdiabfj
acbeghjfid hebcidfajg
hcjafbeigd iefchbgadj
ehbcfaigjd efbgahdcij
gihedjcbfa cafhbejigd
fhbgdaicje hfdbicjgea
igjfbhaecd cbdejiaghf
cjeghibadf acjifgbhed
achgdjbief jhibedgafc
aicbfgjhde gfdacihbje
ciehgafdbj gabicdehjf
befdchaigj jafheidcgb
aihdgjfceb jfcghebadi
fiegcjhabd ahefidcbjg
aebjghcfdi bgdfjeacih
eigbcdfhaj bfcejhadgi
eigbajfdhc acdigefjhb
gcbafjideh ebhcajfgdi
fcdabjghei dgebachfij
hbacfgidej hdfjgeabic
dejhcgibaf egcahijfbd
achgjdebif jehgfbidac
dbechjgfia abijdcgfeh
hebdfjcagi hceiafdjbg
bjgdciefha hbdciagjfe
adhcijbfge hfjgebicda
ihbcgajedf aieghjbcfd
jabcgehdfi hdjcgbfiea
jadicfbhge iaghdefcbj
jgfheaibdc jcgabdfihe
gjiaehdcfb adigjbcehf
ihbdgfjace fdcigajbhe
echdfabgji ihgdbjaecf
ecjfbdiahg egbichadfj
abjgfdihec jgecafhbdi
hcegfidjab egbcjifhda
jebcfaghdi cidgjfbeha
eajgdcibhf bhcidaefjg
dabficjheg ajibdfehcg
jafecdhbgi gbjfhiacde
ghedbjfaic ifcejgadhb
biadjcfheg jhbgfadiec
fhdcejigba bdjeigahfc
hcdjagfibe bcheijdfga
iahedcjgfb dfhbajiegc
jhbieacfdg fjagechidb
agcifjbedh cehdjbaigf
bfdjhigcae dfibajchge
hgedifacjb gfebidahcj
ibafjedcgh dejgiabchf
jbgifeachd gcibfjedha
jdefbicgah ijdgfabech
gfacijhebd fjdgbihace
bdhejcigfa gfiejcbhda
gdihfejbca fegacibhjd
eahjgfidcb cagbhdfjei
dfbhecgija igjbdhfaec
cgdfijebah aecdfhijgb
cebijhgfad hjcigabfed
jdechibgaf ibehdjafcg
degbajfihc aidehjgbfc
cibgjeadhf ejcdfigahb
gbecahidfj begidjahcf
aebhjfgcdi cabhjiefdg
gchajdfebi heafjgibcd
hgcdbjifea bcahidjgef
jfhadbiecg figahjdbce
chgdbafeji jdhaifebgc
bghicfdaje chbedjafgi
cbjaegdhif eibafdchgj
cahfedibgj chjdfbeiga
edfiahcbgj ifbgdjchea
cgebdihfaj fbighjdcae
fabjehdgic chgibaedfj
bhacdgjefi bfcjihdgea
jfcaihebgd ijdafehcgb
hjbidecgfa cfbdiagehj
aifdbhgjec abcjfdeghi
bdgeijhacf dbgijfecah
edbfcjahig hiajegbcdf
gibejcadfh behifagdjc
bcgjfaehid bgfejdhaic
edhbacjgfi cjgfaihedb
fejhacdibg ahefgbdcij
hcgafebidj cfegdibahj
dhajibfgec idjghfcaeb
bfeadcighj fghcjbieda
bifjgedahc fdhjaegbic
jeifacgdbh begjfhcaid
jfaebgchid acdjigbfeh
fgecajbdhi caijgbhdef
jhifbcagde afijchgdeb
ahbeicfgjd gecdiabfhj
fcehjaidbg bfahcgjdei
dhgficbjae eahicgdjfb
hcebdijagf ajidbhfcge
jiegbdhcfa fadbceijgh
hgfbceijda dcbghjifae
cfidgajbeh ageifjcbdh
adijcegfbh ifdcjbeagh
jdgecbfhia igfchajbde
iadbcgjhef ifbachejdg
cefjdbgaih gcejabhdif
diehcagjbf bhciejfgda
heacfidbgj cbgajdfhie
egbjafidhc ifgaecbjdh
adhfbjiegc acfjghbdie
gcjbifadeh hcgefbidaj
dbcahfgeji fjibchegad
iabjecghfd fiaghejbcd
fehbicdjga jhcdiafebg
fbcdeiahjg jbhigaefcd
ebahjcgifd caifdgbhej
bcgfehidja eajgcibdfh
eagihcjdfb ejdhgabfci
eifagbjhdc iaedcjfghb
bifhdjaecg jiaghcefbd
ehfcbjagdi ifjhgcbead
bjdgefhica ehagdjfbci
gbahfeicdj dcfhajgibe
fbiegacdjh ecdhjfbgia
gajfbcedhi hcdefjbaig
caefjghbid dgicaejfbh
cjdifhaegb ajdfecibgh
aegdicjfbh hcdifbgjae
dfcgehbija acjfeidgbh
jgcdehaibf gbfiadejch
aibcjfhegd aigcfdhjeb
ichfabjdge gjiadfhceb
cebdhagfij dbjhaigcef
gciabjhfed figajhdcbe
aicbfhjdge iajhgfbedc
gcadibjefh abhjgicfde
acgdfjbehi ihjgefbacd
hbgicfdjea iedfajgcbh
ighbejdcfa jibfdhgace
fgadebjcih djfehciagb
agchbifjed cfjehdbgai
adigfbhejc aijdhcbfge
gfihdeacbj abhjcifged
fahcbdeigj beihgfcdaj
dcbigjfeha bicgjfhead
dgfabicjhe fjahgdibec
gcjedaifbh ebfdjgacih
idjbefgcah afhiebdgcj
ebjiagchfd hacibfgjde
dabecfgjih acjifbedhg
iebhgjcfda hcbjeafigd
ihfebdjgca ecdjhigfba
bciaejhdfg jcbhgfeadi
cgjhadbfie ihbefgacjd
gjfadeihbc bfgecihdja
efbgaijdhc ajdgcfiehb
afdjhgeibc gfhebicadj
icdegbfhaj fjagcebdhi
eigbdfjcah cbhjdiegaf
beagjfdhci jgiadbechf
ifdhjbegac dgfbceaihj
fbciagjehd efgjbcdiah
gihdjbcefa feaidhjgbc
jcfebgidha jibfcaghed
gjfadhbice fbahejidcg
cafghebjid iadcfghbje
icbjhgfdea jegfhcabdi
dchfajibge cfdjbeigah
jfehicbgad cgjdhebifa
jibdhagefc igcebfhjda
eahfjgbidc ahbgcjeidf
fcjbdagihe gediabhcfj
hafbgecjdi dhcbfeaigj
dahjigbecf eghcjfiabd
debfjaghci jadgcfehbi
cifbaehjdg bajegfdchi
jbcgdaihef afdjecgbih
aeifdghjcb abchdifgje
hdafjigceb dfcghaibje
abhgecfjid hiebgajdfc
chjaedigfb efcgbjdaih
cgdibfajhe fgjdacibeh
ibeajhdgfc cijfbgdeha
icgjebdafh ebcdfjghai
gcdhfaibej baeghifjdc
bgedjchfia cafgbdhjei
ijdhegcbaf jbhdafcgei
jhbdafgice idacejhbfg
ijdgecbhfa dgjcbfiahe
jgdfcbaieh hecidjgfab
hiabegcjdf beihadcfgj
bdcehjaigf gahebifjdc
cahefjbigd cijeafghdb
dcfabjegih idcfgbjhae
ecajifhdgb febchjdiag
dcgjfeahbi beidgjchaf
efcjbidagh gifbahjecd
caghedbjfi afeihcdjbg
fagbhcdije gachdeibjf
bdhecajfig acjgbdfihe
hiajdcbgfe cifahegbjd
caefdjhbig feabicghjd
hdcfbgaije hfjdeiacgb
bcehiagdfj hfeagcbdij
fheacijbdg adcigfehbj
ecdfiahbjg chbdijeagf
iehjfgabdc ieafgjhbcd
iajdebfghc bfdaeghicj
dfegicajhb gfcaedihbj
bgihadjfce jabchegifd
facegdbjhi fcjhbedaig
hcgfbjedai jbgcfdihae
jdcbieahgf eahcijbdgf
bjfiegcdah bfieacdhjg
igahfbdjec hafgciejbd
bhjdicfage hcbgdjefia
jehbadfgci beagjfichd
ibajefdchg hfaejcbigd
