5000
dfcabge edcfgba
egdfbca egdbfca
dfacbeg bfdagce
agecbdf bcfdgea
cefdabg ecgdfab
cedgfba cedgabf
acbgdef egcadfb
abgdfec fagdecb
edfabgc dfabcge
bedafgc fegbcda
acfbdeg fbgedca
cgfeadb dagbfce
degcfab cgfbaed
fegcadb geabfcd
aecfdgb gadfcbe
adecbfg eacdfgb
efgacbd fabedcg
cgdefab fcgdabe
fbeagcd acegdbf
gbfecad cagedfb
gebcafd fbcadge
cgdbafe dacgbef
bgfcdea cafebdg
ecgbdfa gaebfcd
cgbaefd edgbcfa
cabdfeg egcabfd
facdgbe dceagbf
afcgdbe bfgcdea
agcfebd fcbaegd
dfecgab efbdagc
dbecgaf gfbdace
gdecbfa gdbfeca
dfgcbae fecgbad
gfdecab cbfedga
gfbcdea cdfebag
afgbdce adfgbec
gecfadb abegdfc
eafbcgd dafcbeg
acbdgfe gfadceb
febcgad fgedcab
cgbfead fgaecdb
gdaebcf edbagfc
bgfadce gebacdf
cfagdbe fbceagd
deabcfg efcdgba
cfadebg cebdagf
gebafdc dgbefca
bgcadfe bfgcade
abcdgfe dafegbc
bgdfcea afgebcd
gdfceab cagfbed
gfbaecd dbfacge
egdcbfa fbegadc
gcbafde gacefdb
gfdacbe aegfbdc
egdcfab bfdgeac
bdfcega dcbfega
abecdfg bfcedga
gbcdfae fgaebcd
fcdgabe afebgdc
efcbagd efdcabg
cedfbga fgacbde
aecfgbd gebafdc
afcedbg cdefbga
gdebfac bfadecg
bfdecag fcgebad
aebfcgd dgabfce
bgadcfe ebadfgc
cdbgafe adbgecf
gabfedc abfgced
eafbdcg dabfegc
dafgceb degfcba
cbgfaed egfdacb
dfbgeac abgfecd
cfdgeab eafbdcg
dbcfaeg bfagedc
egabcdf bedagfc
cdeabgf ebcfagd
cgabfde edgfcba
cfegdab dfbecga
dcbgaef fdgaecb
beagfcd bdgafec
fdgcbae edcagfb
faecbdg gfedbac
ceafdbg bdgaecf
cfdbaeg cadfbeg
acbdegf gbcfaed
gcadbfe dbecfga
dfgebac bdfgcea
aebgcfd cdeabfg
cegafdb gbafdec
afgcdeb eafdcgb
befcadg dfeacgb
eacfbgd bfagcde
gfaebcd gaebdcf
fcdbage dcfgbae
fagedbc badgfce
cdbegfa bcagfed
gfdcaeb aebcdfg
begcdaf efdbcga
bfdaecg bcfaged
abcedgf gacfdbe
fcgaebd dabfgce
bdgefca ecfgadb
fcegadb dbagefc
gfcbdae dcgfbae
dcfbega cbdefag
cafdgeb cfegdba
feacbdg efgbdca
cedafbg cdbegfa
acbfegd fbcagde
gdfbaec gadcbfe
fgecdba fegbcad
dcagfeb dagebcf
gfadbec abgdcef
fdecbga dgecabf
fabdecg fgeabdc
gdabcef dgcafbe
acgdfeb egabfdc
gaebdcf ecadbgf
gacdfeb cdegabf
dbegcfa begafdc
ecdbafg dgfbeac
becgdfa gcabedf
bfcdgae fcgdbea
eadcbgf gfcdbea
debfgac dgcaefb
dcfgaeb fgbcead
fgdacbe cafgdbe
dgeabfc dfgceab
gdbcfea eafcgdb
bdcefag bceafdg
gdecfab gfebdca
egbdafc acdfbeg
decbagf beadgcf
cfdebag cbfdgea
daebcgf cdbfgea
fbdegca cebfdga
gadefbc gbfcaed
cfdabge dbgeacf
fcdgeab fbecdag
bfcaedg aedbgcf
edfacgb bcadgfe
egcfadb gbcafde
cfgbdea ebdgcaf
acebfdg aebcgfd
afecdgb acbgdef
bgfedca abgcfed
adcbfge fbcegda
fgbdcae cafdebg
cgafedb fcgbead
ebgcdaf facdbeg
fdcagbe egbdacf
cgfabed fcdeabg
gedfcab cfdbega
acgebdf fcbedag
dabcegf eagfdbc
gabdcfe gedacfb
agcedfb bgafcde
efacgbd fabdgce
agfdbec edbgcfa
gbecadf ecbfdag
dgebfca bfaegdc
edfbacg dfbgeac
gdbfcea gacbfed
agfcebd acbfegd
efbdacg acgfdbe
gcaefbd aedbfcg
fdecgba edgbacf
dcaebgf cagfebd
agdbfce facgbed
egbfcad gbaefdc
bgaedcf dcabgef
aegbdcf bacedfg
bfecagd gbedfca
cbdgfea acfgebd
gedacbf edbafcg
fegbcda gfaecdb
cdfegba gecafdb
egdcfba bcafedg
dfagbec debafcg
bafgcde cagfbde
cafbged gdaecbf
bfecdag gbcdefa
gbfaced gfdbeac
edabgcf fdeacbg
aedbfcg cafegbd
fdagbce efabgdc
febdagc adgfceb
fecdabg fdgcbae
dabgefc cagbfde
gdfabec degcbfa
cefdgab bgdacef
acfgedb cagbedf
cgbedfa gacbdef
dfabecg bdeafcg
cagfdeb dgaebcf
ebfagcd decafbg
dfgaebc dafbecg
gbcfdae cefbdga
gfabcde agdfceb
fgdeabc bcgafde
fcegdba bacfegd
bfagced fgbeadc
acbfedg badfgce
adcefgb gdefbac
edgcbfa cegbadf
bedgfca acdfgeb
gbafedc dgcbfea
efabdgc gfacedb
fagbdec dbgaefc
abcdegf gfadbce
gefcdab cebafdg
begcadf dbgceaf
fgdceba efgbcda
egadbcf gceafdb
gcbeafd efcgbda
dgefcba dcfgeab
cagfedb decbgfa
abfdcge gcafdeb
fbecgad bgfcdea
fdaegbc ecabgfd
bcagedf cgdfbea
afbcedg gdcbfae
bgcfead bdgcafe
cbefadg eagcfdb
cfabdge caebgfd
fcdeabg dabgfec
agfecdb bgcfdae
fcbgead defabcg
dcbgafe fdaecbg
fbgacde acfgbed
cgfadeb aedcbfg
befdgca efagcbd
ceafgbd efcbagd
dfeagbc fagdbce
fcgadeb defgacb
ebgacdf dgebcfa
feagcdb fcdgeab
dcegabf bfdaecg
acdgefb gfcdaeb
gefcadb gedcafb
cegabdf dacgebf
ebacdfg afgcedb
bfedagc cdgfbea
egdcbaf fbgdeac
bdgfaec ebacgdf
cdefgab adfcebg
gdbfcae cagdfeb
eacbdfg gaefbdc
fecbdga bdafceg
egcbafd ebcfgda
fbcdgea fdcegab
eafgdcb edafgcb
cagbedf dgcfaeb
fgceabd efbcgda
becafdg bcdgeaf
dabfecg dbacfge
dcbgfea ebcdagf
dcbfaeg aegcfbd
gdcbeaf bedcfag
adgecfb gfdabce
fbgaecd abfcegd
efacdgb gebfcad
cgfdabe fabedgc
gefcbda gabdfce
afbedgc cdgefba
gfedacb aedgcbf
gbdafec acbgfed
ecdgfab cbfaged
ecgfbda fabdegc
bgefcad agdcbef
deacbgf dbgcfea
cebgafd ebdgfca
ebacfdg cadbgfe
bfegacd bcfedga
gfacbed adecfbg
geabdcf gcfebad
gbcfade aedbgfc
gadfceb cdfbage
agefbcd efacgbd
fedgabc fabgedc
gaebcfd aebgfcd
bdeafgc gbfcead
egbdacf fadebcg
dcfbgea dbcagfe
dcegfab dbfcgea
gcafbed dcafgbe
cdbeagf badcgef
fbedcag cadgefb
badcegf dfabceg
dagbcfe dgbceaf
ebdfagc acfgedb
becfagd gcdafbe
dbfgcae afdgbec
efgcbda fdagbec
cfedbag egcbfda
baefdcg bedfagc
fedcgab cbdagfe
cfbedag cbfdage
fedgacb dcagbef
cfbadeg cdgaebf
cdgfeba acefdgb
edcfgab cagbefd
gdafbec fdabecg
gdaecbf cfbaedg
dfcgabe gbdafec
aefgcbd gfdeacb
ebcfagd efadgcb
dacbfge bgfdcae
bdcagfe edbgfca
bgdecfa feabgdc
gfbedac cdgbefa
gdceafb bfgdeac
dfgecab dgecfab
dcfebga dfebcga
bcedfga adebfcg
befcagd fbcgeda
ebgcafd begfdca
cdegfba bfdaegc
cfagbed gefabdc
cbegfda daegcbf
gabfced efbacgd
afbdecg aebgdfc
feabcgd dgbfeac
bacefgd cefadbg
ecbgadf cegbfda
badfceg aefgbcd
dbcefga agfdebc
dgacebf aefcbgd
gdbafec fcegabd
bfadceg bfgadce
dgfaceb abefcdg
cbedfga aecdfbg
gcebadf cegdbfa
befcdga gdacfbe
gcbadfe cfdeabg
cgafebd cdaegbf
edgcfab cadebgf
fagdecb efdcbga
bacfegd deabfcg
facdebg eadgcfb
badefcg ebfdcga
gadcefb cafegdb
efdcbag eadbcfg
edgabfc cbfdgae
abfdegc aegdcbf
afecbdg abedfgc
bcegdaf aegfcbd
cebgfda fecgadb
adgfceb egdbfac
gcfdeba gedcbfa
gbdaefc dfagceb
gbedfca ecagfbd
gafcdbe caefbgd
bcaegfd dfegbac
cbdgaef gedabcf
debgafc debagcf
gdfbcea bgefadc
edfbcga cefagdb
fdgacbe gcfdbae
cabgedf adbfceg
cdgfaeb fagdcbe
dbfgaec fdagcbe
dcbegaf ecbfadg
cdfgeba dbfcage
gfbcade fbdaegc
adcfebg aefcdgb
eafgcdb badgefc
fbaedcg cdeagbf
aecdfgb fcdebag
gbcfdea fadgbec
bdfecag fegdacb
abgcedf adcegbf
bdcgfea dfbcaeg
aebfdcg bcdaegf
fcebadg beagfcd
edcbgaf dagfebc
dgbecfa acefdbg
becafgd bgfedac
ebgfcad fdbecag
dcbgfae gdebacf
cdgfbea dbeafcg
fdcegab gbefadc
dagbcef gebcadf
bdecgfa cbefgad
gbcfaed bdcgeaf
ecgdfab dfabgec
bcfeagd dcfbega
fbcgeda fbgaedc
ecfagbd dacfgbe
befgacd fbdgeca
badcgfe faegcdb
eacdgbf bagfdce
ecfbgda baecfdg
cfadegb fabcdge
gabedfc bfcdaeg
agfbedc gcbfade
gdafecb bafcgde
cdebgaf cabgedf
cgfbeda bdacfge
fbcegad degfbca
feabdcg egfadcb
agedfbc cdgbaef
fcbegad fcadbeg
aebdfcg cgebdfa
dcgbfae cdfgeab
fdeacbg gafbedc
abgcdef bdecfag
bfgeadc abfdgec
gdcbafe fedbcga
bgeacdf fecgbda
bdfacge edbfacg
cfgedba afdbgce
gbaedfc faedbgc
cbfedga egfbacd
bfcgaed eadfcgb
bcdgfae fcgdaeb
bdfgeac gdecfba
efgcdab ebcafdg
caegfbd ceabgdf
dfgeacb abdgcef
cbadgef befadcg
adfbcge bgdefac
fbedgca baefgcd
deagcbf fbcgead
egbcfda gbfacde
dabfgce aedbcfg
agbcfed acedfgb
fcgdabe dcfagbe
cafgdbe efgabdc
dcebfag dfcabge
dcfabge dfagebc
dfbaegc eagdbcf
cbdaegf fedcabg
dfbgace gcbdeaf
debafcg fbedcag
dbgeacf cagdbef
cdgebfa adfcbge
ceafdgb afdcgbe
dfgaceb begfcda
bfcgdae abgfced
feabdgc gebfadc
bcadefg dcbgeaf
fdbaegc agefcbd
cdgebaf gadbfce
beafdgc adegbcf
egacfbd adcbegf
becgadf fcbeagd
gfcaebd bcdgefa
dcgafeb bfdaceg
daebgfc fcdageb
afgbced gdeabcf
dbgacef cedabgf
bdfcage gcafedb
efdagbc fegcdab
fgeacdb eadgcbf
cgbaedf ebafgcd
baedgfc acdgbfe
cdabfeg aebgdcf
faegdbc dfcgeab
aecdbfg cgdeafb
fadebgc cafbgde
fcadbge bdgacef
gfdceba egbcfda
cbegfad egbadfc
ebcfgad fgcbead
dfeagcb begdacf
fgdbaec bfcdeag
defbgca gcedfab
aecbgdf bgcafed
faedbgc gedfcba
daefcbg cbedfga
fegadbc caedfgb
dafcebg bacgdfe
dfebcag fdecagb
bagcedf edfgabc
efgbdac egbfcad
efbadgc fcedbag
cefbgad gacbedf
fcdabeg bfdegca
ecgfdab afecgdb
efbgacd cegdabf
bagdcef gfdceab
eadfgbc bdcgefa
dagecfb bfedgac
aegfcdb fagbced
fadgbce cfbgaed
begadfc gedbcfa
dcafgbe agedfcb
afdcbge aecbgdf
cbfdeag badegcf
cfebgda bacdgfe
egfbdca cfadgeb
gadfebc bfeacgd
dcgebfa bgdacfe
egcdafb dagbcfe
fdbceag abcgdfe
aegfcbd acbedfg
ceagdbf cagebfd
fdbgace acebdfg
aedfgbc fbaedcg
cadbefg gcedfba
fadbgec fbgcade
fcgbade cgafdbe
cgfadbe dcbaefg
dgbcfae gdecbfa
gbcadef acdbgef
cbfgdae daebfcg
edagfcb bdefgca
dgfcbea afdbegc
beagdfc gadecbf
cbgadef ecfdgab
gdbacfe beacdfg
egcdfba fbedacg
gefacbd fecgdab
abcdefg cbefdga
bfdgcea bcgeadf
bcgfead gbacedf
bcfedag gcfbaed
acfedgb cfgaedb
aegcfbd becdfag
ebdcafg eabgdfc
aedgfcb gbadefc
gcaedfb edcafgb
acfdegb bfgeadc
dgbceaf bcfgdea
bdcgaef dfcgaeb
daecbfg cgbedaf
ecgdbaf dgcefba
ebcgdfa eafgcbd
fbdgaec bcaedfg
egbafdc bdacegf
ecfgbda fbgadec
bcegfad cdeafgb
cdafebg acfgbde
begafdc bfegacd
cbgdfae cdafgeb
cdfgbae fecbgda
gfebadc egcdfab
egcadfb dfebacg
feacgbd eadcbfg
cfedagb egfabcd
acegbfd fcagbed
adcebgf cdbfgae
fadbcge faecbdg
agdfecb agdfecb
febcgda edabgfc
egcbdaf afdbcge
gdfeacb agdbfec
dfgcbea fgbdace
egadfcb gfcdabe
efgcdba fdcgeba
dfecabg fecadgb
cdgfbae fcabgde
adbgecf aegcdbf
dcbagfe aecfgdb
bdfgaec efdbgac
gdceabf efbdgca
efdbacg daecfgb
deacbfg gecdafb
gcbefad eafdcbg
bcedafg geacdbf
gfbceda degacfb
bdacgef ebgfcda
fegcabd bdfeagc
dcfbgae fgdaebc
cfgdbae fagecbd
cbgadfe bgadcef
cfebagd facgedb
fcedbga dgaefbc
adebgcf edgbafc
ecgdafb fbadegc
gaedcfb fecbdga
cfdgeba febagcd
cadebfg bgacdfe
agfcbed fdcagbe
cgdafbe fdabgec
dgbeacf dcagfeb
defcbga bgadefc
egfbcad abegfcd
dagcbfe cgbeafd
gdecbaf gdbfaec
fcdageb efadbgc
acefgbd aedgbcf
efbcgad cfgedba
gefcabd dabgefc
eafcbdg cbfeagd
dfgacbe afgdbec
cdagebf gdbface
ebadgfc dgfeacb
abgcfde dgafbec
aedcbfg cefgdab
fgabdce egbfacd
bdfagec fgecdab
gcbedaf agebfcd
feadcbg fdgaceb
fbagdce afebcdg
becdfag agdcfeb
ecfgabd abfdegc
dbfaceg bdecafg
eabgdcf efadcgb
afecgbd ecfdbag
adgcbef fgbecad
dfbgcae decbagf
abcdgef acgbfde
gbedafc dbacegf
adcfgbe dcfaegb
gfaebdc dfbgcae
eadbfcg gfadcbe
gbdcafe ecfgdab
acefdgb dfecgab
adfbecg fgbadce
fdacbge agefdbc
fcbegda adgfbce
bdagcfe bcdefag
cbgafde ecgfabd
fdebcag cabdgef
cbgfdae egadcfb
ceagfdb gbeafdc
facgebd gdbcfea
ebcagdf cdfegab
fbdeacg gdacfeb
dgfebac fgcaedb
acefdbg bgdecfa
bgfadec deacgfb
dgafceb debfgac
aebcdfg bedagcf
baedfcg cfbgead
gfeadbc gfbedca
fdaegcb afgbdec
gdfcabe cadgbfe
egfcabd dbecfag
edbgfca afdebcg
gaecbdf acegbfd
ebfcadg agdbecf
daecbgf aebdfcg
agcbedf aefdcbg
facdegb becafdg
febcadg gcebdaf
bafgecd fedgbac
edbfacg gecadfb
gdcafeb cafbdeg
agedcfb aegdfbc
fdecbag adbfgce
afdebgc ebcgfad
dafgecb gafecdb
fdabgce dbegcaf
fbacgde cgfbade
gcdfbae ecagfdb
egabfcd facdbge
fecbgad cbgefad
gfbdeac adgefbc
cbafdge dbegcfa
bedagfc begdfca
bcdefag bafdcge
adbegfc gbdecaf
fbecadg dcfbaeg
bafdgec adecgbf
cagefdb adfcbeg
dcaefgb befcdag
bgdface gbfdace
gdcaefb fbgcead
egabdfc fdebgac
cegdafb abgfcde
edbacgf aebfdgc
agdfbce abfcged
bcafedg cfbdage
bfagedc bdfecag
afdgbec gbefcda
becgfad aedbfgc
egcbfda fcagebd
aebfgcd gdfbcea
cfaebgd cbfegad
abegfcd afbedcg
efcgbda dcgbaef
abdefgc gdaebcf
bdgfeca aefbcgd
bdefagc cfbegad
efcdbag ebgcafd
dfcegab gcfdbea
caedfgb afbcegd
egbfcda bgcaefd
dfacgeb cbgdefa
eadfbcg eadgbcf
fecbgda fcdbage
afcbgde afbedgc
abegdfc edgbfca
gedbcaf ebcgadf
gafecdb edagfcb
dbgafec dabegfc
gfcdabe acdbgfe
gfdbeac daecbfg
febcagd gbcfade
bgdeacf dagfbce
fabgedc ebgfdac
ebadfgc dfbcage
cagdbfe ebgcdfa
bgfeadc cgfbeda
cfagebd efbagdc
cdaebfg fbcgdea
efbdagc ecdabfg
abcfedg eabfdgc
acfgdbe gfbadce
abcegdf feacgbd
abgecfd ebafcdg
dfeacgb fecdabg
agfebcd acbgedf
fegdcab afbgced
fgbcade bedfcga
eadfgcb acbdfge
gfedbac gcdbfea
fecdbag fgedacb
febdgca gadcbef
cgfbaed gfdbaec
bacgdfe agfdceb
feabgdc bfadcge
ecafdgb ceagbdf
decafbg fcdgeba
abgedfc fbagdce
cdbaefg gcedabf
afegcdb fcgbeda
abfdgec gbcdaef
dfcbgea fedcgab
dafbgec abcgefd
abfdgce fdgceba
fgedabc gafdceb
gcbfaed dcgbefa
ecafdbg fabegdc
bcadegf efcbadg
fbgdace begdafc
defagcb gbadcef
cgeabdf gdbefca
cefbdga eadcgbf
fegbcad fcdebga
cfbegad gecdbaf
acbefgd bacdfeg
gcfebad bdgecaf
gbfdeac fgbecda
bfgdaec afgdbce
gfdaecb bedcfga
cedgbfa cdafebg
bcgeadf fdbceag
agecbfd fgbdeac
cabefgd gcafdbe
degacfb febcgda
bcgdeaf cdaebfg
cdagfbe cfdgeab
gdefbac ebdfagc
bfegcda dbcfgea
cfdabeg bagcdfe
gfbdace gefcdab
ebagcfd afcgdbe
aegbdfc bfgacde
eabdfcg edfgcab
ecadbfg dgfaebc
acbdefg bcgefda
ebgafdc dabcfeg
abdgfce abdfegc
decbfga feabdcg
bfcgead bagdcfe
egfdbca dgebfca
bagdfce dagcefb
gedbafc dcagfbe
bgceadf fgedcba
fgcbdea gedafbc
edafbgc gecbafd
dagefbc egcbafd
bcaedfg gbfadec
gcadefb abcgdef
bcgedaf ecagbfd
fcgebda dbfaegc
gebdfac cfaedbg
adegbcf dabgcef
cedgafb fbgaced
begacfd begdfac
egdafcb gfbedac
fbgdcae aefgcdb
fgdbcae bacefgd
gafbced cedgfba
fegdcba becdagf
dagbecf afdegbc
becagdf cgabfed
fcdbeag gedfbac
dfbecga gfcaebd
dfbgcea gfcbeda
gdbcafe bceagdf
gaecfbd abdfgce
befadgc gaedcfb
bagcefd gdceafb
gcedfab gdefacb
bgfcead dgbcaef
bcfaegd cabgdfe
eabfcgd dfeacbg
dacgbfe bdfgaec
fdbecag fgceadb
defbagc dgecbfa
gdebcaf gcefbad
dfegacb gacebfd
efgcbad gfbcade
afdbceg aebgfdc
fbdaceg fdgabce
fbeacdg cabfdge
dbcegaf aebfdcg
dgbaecf dfbaecg
gadfbce abecfgd
afgbedc egbfcda
edfbagc ebdfgac
fdebcga gcfedab
degbcaf acbfdge
bdaecfg gcdefab
aedbcgf cbgedaf
dfcgbae cfbadeg
cafegbd bceadfg
cfbaged facgdeb
cabgfde fgdaecb
dgecfab aebdcgf
gbdcfea fdecbga
egbdcfa fcgedab
gdabefc fceagbd
fbacdeg efdagcb
cebagdf gcefbda
ecdbagf ebdgfac
dgcbafe fdegcab
cagdbef dgabcfe
dfebgac cagefbd
bgfdeca gecafbd
dafebgc febdacg
cafdbeg cfebdag
cgefbda bdefagc
dfgaecb dbcfega
adcegbf fabgecd
befdagc fdabcge
egfcadb fdaegbc
acgfdeb dfgaecb
efadbcg dagebfc
cgfaedb ceagfbd
efbgdca cdagfeb
cfbgdea bgcdefa
efbacdg befgacd
bdafceg fcbegad
dfagcbe agfbcde
ecfadbg adbefgc
fegcbad cdfbaeg
edfbgac cfgdabe
dgcfabe fagbdce
dgaefcb ecabdgf
cabdgfe ebafdgc
fgcadbe bdegafc
cdgfabe abdegfc
facgedb bcdagfe
cedbafg dbcgaef
gcfbdea egbcdfa
bfcagde fdcbgae
gfcbeda efacdbg
daecfgb cbdgaef
cabgdfe gabcfde
faegdcb begcfda
bdcaegf fcdbeag
caedgfb cfegbda
aecbfdg eafbcgd
cgefdab gcdeafb
bcgfdae cgafdeb
cebfadg cfgadbe
adgebfc dgcbaef
gfacbde bfgcead
edbfcga bgdcefa
dbceafg cfdgabe
gbfceda efcbgda
edcgfab dbfaceg
bfagdce abdfcge
gcdebaf gafbdce
fgaebcd cgdabfe
fcgbdea ecdgbaf
dcbfeag abfecdg
cedfagb agdcefb
efgbadc gaedcbf
fedcbga baegcfd
cebdfga faegcbd
edfbcag debfgca
aefcdgb agcbfde
gacbdef efcgadb
cgadbef deabcfg
gfbeacd bgafced
bdafgec gbcaefd
gceadfb bfadceg
facgbde abgfedc
abcefgd fbgdcae
gadfbec ecagdbf
dcfeagb gaebdfc
fcebgad fdabegc
gcafedb dgfecba
cdfagbe gaedfcb
dfegbac dcgbeaf
gdebcfa cegadfb
bfacged ecfbdga
bafegdc deabcgf
gbadcfe fedgbca
caebdgf gdfecab
ecagbdf dgfbeca
fcbdage bcgfaed
edbagcf cgefbda
fbgcead bcfadge
gedcbfa abdegcf
fgbcdea cgfadbe
fbagecd dacegfb
gecbfad gdcbeaf
dabfegc caebdgf
gdbfaec dgafbce
ecgabfd gdcfeba
cdfeagb gfecdab
efgacdb caedfbg
daecgbf ecgdabf
bgeafcd gbcdfae
gecbdfa gebdfac
cegfdba cgdbfae
gbecdaf beagcdf
bgcaedf bafgedc
bcdgefa bgcfeda
ebacfgd bfgdcae
dgecfba fgdcaeb
eadbfgc cbdfega
gadfcbe bfegcad
aebgfcd bafecdg
cfgdeba becagdf
fdacgeb badfegc
egcfdba cadbfge
ebfdcga dgbcafe
deafbgc fcagbde
bdgcefa cdbafge
gaefbdc bacfgde
dfgceba fdgebac
dfcgeab acgebdf
gfbeadc gdebcfa
bgeafdc fbecgad
cbaedfg bgefacd
ecfbagd eafcbgd
degbafc cgdafeb
bcdaefg caebdfg
bagdefc acebfdg
cfbgade fcabegd
faegcdb cbfdeag
afegdbc dbefcga
fbagdec abdefgc
efabgdc fbcgaed
cgdebfa edfcabg
befcgad bgfaced
begcdfa fdbaecg
efadbgc bcdfage
cfgbaed agbcefd
ebgcadf fbacged
ebcgadf gbeadfc
agbfdec gafdbce
bcagfde gefdcab
fagebcd daegcfb
bgfaecd adfegcb
cgdabfe adebfgc
gfdaceb fcegbda
ecfbdag defbagc
dgceabf gdbfcae
fbadegc gcfadbe
efdagcb fdaebgc
cbfeadg gbacdfe
eagdbcf gefadcb
gafcbed baefcdg
aefgbcd gfacdbe
egabcfd bfaegcd
feadgbc fdbaegc
adcgefb gafdcbe
abgefcd ecdbafg
gefbdac cdabfeg
dfegabc cdfgaeb
efbgcda fcabdge
eafdgbc badefcg
aedbfgc cagdbfe
bdeagfc abdcefg
edfcbag adbcgfe
gdaefcb gdcaefb
efdgcba cefgdba
cgaebfd gdeafcb
afebdcg egcdabf
cfbeagd gcfdeba
fgdbcea dcebgfa
adfcebg bgcdaef
cagbdfe cgdafbe
ecagdfb dgebcaf
bcdaegf agdefcb
fbadecg fdacgbe
fbacged ecbagdf
cadfebg ebcadfg
afedgbc begcdfa
cegbadf cadfgeb
cedbfga bfcegda
ecdgbfa gbefcad
gafdceb aecgbdf
eagbdcf cbegafd
eabdgfc fgeadbc
bfcaegd gfadbec
afdgbce dcgaebf
afbcgde fbacdeg
bceadgf cfdbeag
ceadgbf bfdcaeg
decabfg ecgbdfa
fdebagc abecfdg
afbecgd gcbaefd
deagfbc cdbaefg
eafdgcb ecbadfg
cfgaebd afbgdce
fbadceg efcdbga
gdcfbea gdcfabe
eagdcfb fcbdgae
fcabged fdbagce
gdacfeb gcfebda
acfegbd fbgcaed
dgcfaeb gbdefac
afgbcde egdacbf
dcebagf bdagfce
egbfacd cgfeabd
geafdbc dbcgefa
dgcbfea egbcfad
cbgfdea cdbfeag
agcebfd dagecfb
acgefbd gfbcaed
befgcad daefbgc
abgfcde aedcgfb
cagbfed gbeadcf
gcfebda eafdgbc
fagbdce fdgcbea
facdgeb bgdeafc
fcdeagb aegfdbc
dcgfabe cdagbfe
ecbadgf bcgfdea
abfgdec ecdbfga
fbedacg fegbdac
edgcafb bgcfaed
gdfebca dcgfaeb
dbeafcg fdegacb
afcegbd acdegbf
fdgaecb fbgeadc
dbfaecg egcdfba
cgabdef edafbgc
bfaecgd gdafecb
dgabcef edbacgf
edacgbf dfecbag
bedcgfa agbfcde
eagfbdc fgdbcea
fcadgeb dgfebac
adfebgc edgfacb
agdebfc gbcefad
adcbegf febdagc
afdbgec cbeagfd
abdgecf fecbadg
acgfdbe edfabcg
gecadbf efgbdac
fbaecgd abcedgf
dacbgfe fecabdg
caebfgd dgafceb
dbegafc edbafgc
dbcfeag gcdebfa
abdcegf gfabdce
fgdcbae dbfgcea
gfdebac afebcgd
egfbcda cfbdega
gbcefda dgebfac
dfabgec cgfbdea
bcfdeag gbacfed
baedfgc fgbcaed
gdcaebf gcaefbd
fbdgeac edgfabc
gcdabfe gedcfab
bafgdec facgebd
cfgaedb bdfcgea
cfdebga dfegcab
dbgcfea cadgfeb
fgaedbc debcagf
gbaedcf aecgfbd
eafgbcd cdgafbe
dbegfca fgdacbe
