1000
afegcdb gdcfbea
dbefgac cdeagfb
bfcdgae feabgcd
bedcafg acedbfg
acdbfeg gdafecb
degbfca dfaegcb
gdafbec ecbdgfa
ecbdfag dgceafb
afebcgd cbfdage
abdgefc fdbacge
gfbdace bdaecgf
dfgaebc gefadbc
fdcgbae cadebfg
bfdcage dfbaceg
ebafgcd geadfbc
ecbfdag degafcb
bfeacgd bgadcfe
defgbac abegcfd
cfebgda adbfegc
fdcegba fdbceag
efcdbag bgeacfd
fdgecba cdfebga
cefabgd cgdebaf
aecdbfg fgbecda
cgfabed gacbdfe
cbefdga febgadc
eacfdgb gecadbf
acdefgb cabedfg
cfadbeg efdbagc
gdfbcae dabcfge
ebgfcad gacfbed
gfeadbc bdfeacg
bfcedag dceagfb
aecdfbg dacbfeg
cfbdaeg fegcbda
feadcbg bcgdfea
fecbagd dfabecg
adebfgc eabdcfg
cebafgd dbfcaeg
caebgfd egdbfca
debgcfa dgafbce
ecgfabd efadbgc
degfacb abcefgd
gfedacb ebgafcd
fdcaegb gfdceba
dgcefab eabgcfd
gadbfce fdgebca
begcdfa ecafgbd
cgbdeaf eacgfdb
cefdabg fdbgeac
gdfabce egcbfad
adfcgeb cdbgaef
fecgadb bagfdec
befagcd facgedb
edfbacg dfacegb
aefbgdc baefdgc
egabcdf cbdafge
dfaecgb fbgdcea
cbagfde dbgacef
dgfbeca gecbdfa
bdefcga dcgeabf
baefgdc fadgbce
cdgbaef cfedgab
baegdfc bfdcgae
bafgedc adgbecf
efcdgab cbdgefa
eadgbfc cdbeafg
gafebcd dfecgba
cegfabd faecgbd
cbagfed adfecbg
ebcdfga befcdag
aedgfcb bagcedf
eacgdfb caebgdf
ecgdfba aegfbcd
cadegbf gbdceaf
fagdecb dbecagf
cdegafb cfgadbe
fegcdab dafgebc
cfedagb debafcg
fcaegbd dbgecfa
cdfabeg efcagbd
abcgefd abcdgef
gafecbd acgbedf
efcabgd gafbced
bcegfda cadebgf
egfbcda bdfgace
agbcfde gadebfc
gbfdeac fadbgce
gcdfeba gaedcfb
acdebfg gbeacfd
becfagd bfacegd
edbgacf cgbefda
gaedbcf efcgbda
bdeagfc bgfaedc
dafcbge eabgfdc
gbfadec bafcdge
dbgecaf eacfbgd
acfegbd afegcbd
agedbcf cedbafg
egcbfda gbaedcf
becdfag cagfbde
gecfabd edfacgb
afgbcde adcefgb
bdfaegc geacbfd
egfadbc dfgbcea
becgfda cedbfga
cadbfeg daebgcf
egdcbaf cbaedfg
bgafdec caedgbf
gacbedf fcdegba
abfdgec ebafdcg
fdgaebc eafgcdb
cgbafed acbgfed
cfagbed bgfcead
bcdgaef bdegcfa
dfabegc abecgdf
bcfeadg egcadfb
fcgedab dcfgabe
ecdbgfa cdgfaeb
edgbafc gecfadb
aecbfgd bceafdg
efbdgac fedgcab
fdbgaec fgbadce
eafbdgc afcgdeb
dbcafeg afcgbde
fagdbce gafecdb
dcagfbe cdeafgb
cdgfbea fbgcade
edfgcab cabgedf
fcagbed bdaecfg
gdacfbe bcefdga
cbadfge gbcdfea
fcaegdb dgebafc
efgadbc gbaefcd
gadbcef agecdbf
ecbfadg fagbdce
efabgcd aedgbcf
cfbadge eacfdbg
fcedgba gcadbef
cegbdaf gbdface
aegfdcb dgfbeca
fagcedb aebdfcg
bfacdge abfdegc
dcbeafg gbfcaed
gafdebc aegcfbd
gfeabcd dcgbefa
fgbaecd bgefdac
ecfdagb faecbdg
cgeafbd cagdbef
gcbafde agdecbf
edcfbga cdegabf
bcfedag fecbdag
egcfabd dbcagfe
afdbgce gfeabcd
eabcfdg gcedafb
cbfaged cdfageb
gabecdf gdfbcea
cbgfdae aecdbfg
edbfcag agdfbec
gbcefad efgcabd
bdecfga feabcgd
gdfbeca cegfdab
ebcfadg bfdcage
bdgaefc badgecf
cdeagbf geafbcd
aedbgcf bgaefcd
decbagf fagdbce
fdacbeg gafcbed
dgebcaf cabfdeg
dafcegb acdebgf
efgdacb afbecdg
dcagefb abecfgd
fadbcge febdgac
beagdfc fabedgc
beafcgd cdbfgea
dcgeafb gfdbeac
edbcgfa dagebcf
dfagbce agdebfc
efgacdb fbagcde
fdgbace ebcgadf
deabcfg bcdagef
acbfged daegcfb
bedafcg fdecbga
adfcbeg fdagebc
cdbegfa gbecfad
afcgbed bcagfed
efbcdag gafebdc
fcbadge gfcbead
ebcadgf faedbgc
bfedcga debcfag
agcbefd agcdbfe
fbcadeg egabcfd
agdebcf ceafdbg
edcagfb gfbedac
gceafdb fgadebc
dcbgefa cfadbeg
fcgbead bagdfec
cbdfage gdbcaef
dgaefbc ebdagcf
agedfbc bgafdec
cfbgead cagbdef
edbcgaf cdaebgf
gadfbce badfgec
daebcgf afgedbc
bgaedcf cagdfeb
eafbcdg eagfbcd
defbacg aedfbcg
bagecfd fbdgeca
degbfac fdgecab
gacebdf cdefbag
gfdaebc fbceagd
dcafgbe bdcfega
fegcadb fegbcad
cfdageb caefgdb
ecdfabg gfdeabc
fedcabg bgfcdea
fgbcade fcdageb
adecgbf adfcgeb
fcdageb cdefabg
cgefdba cbdagfe
gafcbde fedacbg
dfbgeca ecdabgf
dfbgcae fdcbage
abfcdge bdecfga
dfbaegc fadbceg
deagfcb edbgafc
adbfecg gabedfc
fabcgde fbgcdea
acedfgb agbedfc
bgfaced agcfdeb
gfdebca aedfcgb
dgcbfae ebfcgda
dbfcaeg baefgdc
fdbagec decbfag
adecfbg dabefgc
fecbadg fdebgac
fgbadce gbcfade
bdcegaf bagfced
bfgcdea gdcebfa
fgcbead cdeabfg
feabgdc geacbdf
cgeadfb abdfgec
bgcdfea fbadgec
bdfcega fbdcega
cebdfag dbfgcae
ebfdgca gedcbfa
efdgabc agecfdb
cgbfead baecfgd
cfdaebg bagcdfe
gebcdfa edbcfga
debcafg gecfdab
gaefdbc cfeagbd
dgbacfe fdgbcea
efdbagc fbdaceg
bgcfade dgebcfa
dfcbega gcdbafe
gcefdba bcdgeaf
caegdfb gbdafec
ebcagfd gcabdfe
bgcaefd adbcfeg
edcbgaf fdabceg
eafcgdb dbgcefa
gbdcaef fcebdag
dbcaefg gcbaedf
acefbgd acfedbg
fabecdg dgfcaeb
bgafdce dfbaecg
edcfbag facegbd
faebcgd fcabgde
fcdbeag agfdbec
gabefcd dgbcafe
dbagfec dbecgaf
aebfdgc fbecgad
ecdbagf eagdbfc
cafbgde gcbdafe
geacdfb gfcebda
abdgfec debgcaf
cedfgab bcgdfae
dgafbec bfdgcae
efcgbda bdegacf
dbeafgc ebafcgd
fabgcde bcegdaf
fcagdbe ecgabfd
gefadcb defgbca
debcagf bfedgca
egfdcab dfcgabe
bacdfge gbadfec
gcdbaef adbefgc
bcfaegd ecadgfb
cgaedfb bfgcade
ceafdbg gdecbfa
acedbfg efacdgb
bdecagf abefdgc
egcdfba fbadecg
dcabfeg dgbecfa
eagfdbc dagefcb
gfacebd fgeacdb
fdbacge bfacgde
dgacfbe bdegcaf
cgdfaeb gdbcefa
degcfba cbdagef
bcdfgae bfdaegc
dbcgaef daecfbg
gfbecda dabgfce
degcabf fegcabd
eadfbgc cgfbdea
afcgdeb fgdaecb
fdeabcg dcbeagf
aedcfgb cgdebfa
gdcbafe acgefdb
cedgfab fdagecb
cebagfd dfbegca
cfbaged cbdfaeg
eagfbcd dcagbfe
fbacgde edbgcaf
dfagceb gdfabce
cadegfb fdcegab
agdebfc gaefdcb
bgafced bafcged
fcdbaeg cfdbaeg
facbged gbfacde
begcafd acbdfge
cadfegb dcgafeb
dgefacb cagfbed
degacbf cabfegd
bfcadeg gbfdcea
cdbfaeg cafdbeg
fcbgead bcegfad
edbcfga acdgfbe
fbedcga ebgcdaf
ecgdfab efbdagc
dcfegab feabdgc
fabegcd bdaegfc
cfdabeg fbcedga
adbcefg dafgceb
edcafgb gecabdf
aecfbdg dbagcef
geabcdf gdaecfb
cbagdef agfcebd
gdbeafc fbgcdae
gabdefc bfceadg
efbgadc bfdeagc
badcefg cfgbdea
abcedgf egbfadc
ceafgdb fegdacb
defagbc aegbdcf
acefdbg bedfcag
ebgcdfa bcgedfa
fcdgeba afdgceb
bcgaedf eacdbfg
afgcedb egcdabf
badgcef gfacdeb
degfcba befadgc
bfecgda gefadcb
abdfceg gfeacbd
agdbefc bfcgdea
gdbceaf begfcad
cadfbge bafegcd
abefcgd fdgeabc
afdbegc gcfebad
gefcbda fbcgaed
dcefgba gbfcead
eagcfdb deacfbg
fcedgab cfdaegb
efagbcd gfbadce
gdbefca bdefacg
dbafecg aebdcfg
gbdcafe cfbadeg
gbfedca begfadc
cfgdaeb dfagbec
gabefdc bedgfac
afdgcbe bdacefg
abecfgd abdgcef
gdcaebf abfdecg
dfebcga cdfbage
caebdgf edabfgc
bgedfac gacfbde
abcdgfe afegdbc
dgacbfe dfgbaec
fedgcab cdbgafe
cegdfba agbcfde
gbdfcea cfabdge
gfcedab eabdgcf
bgdfcae fecdgba
gdbfcae fbdaegc
dcafbeg cdfeagb
acfgdeb cdgabfe
dbfaceg bacgfed
acfbdge bcadefg
fdgbcae gdbecaf
gcdfabe daecgbf
dcfaegb gdfbeca
feagdbc abegdcf
bacfgde cbgafde
gcbefda gdabfce
gbceafd dfegbac
afbcgde ecadbfg
bgdefca cfgeabd
fdacegb efbdcga
ecbgfad gfaebdc
edabgfc dfcbage
bgaefcd bfecgad
gbadfec adcgbfe
decbgfa bceagdf
fedagbc ecgfbda
egbacfd gcbedaf
afcbgde bdcgfea
becdgaf cfbdeag
cafdbeg abdfecg
aegbcdf bdagfce
gfabedc cfebadg
dfbcaeg gaecdbf
cfeagbd egbdfac
gdfbcea fgaecbd
gebdfca bfcgeda
edgbfca fegbdca
egafdcb cbegafd
abfecgd cbgdfae
dbefgca aedfcbg
bcdfaeg acegbfd
fcedabg fgdbace
bdgaecf afdecbg
dceabgf gcbdfea
caedbfg dbcaegf
geafcdb abgfdec
egdfbac dgafcbe
ecbagdf dfgbeac
eadcfbg bafdgec
bgefadc edgfabc
befadcg gcdbfea
eagcbdf gcadebf
fcbagde dbgefac
cdgebfa begfacd
afegdbc bafcegd
aecfgbd becgafd
edfacbg faegbcd
ecdgbaf afbcged
dfaebcg ecabgdf
cbadgfe baegfcd
gebfcad dgefacb
acdegbf fdagbce
agbfecd ceafbdg
aegcfdb cagbfed
egdcfab egfbdca
bdfcaeg afgcebd
dacgfeb efagbdc
aedcbfg ecgabdf
bdefgac bgfedca
dfebagc dcaefbg
dfeabcg agfebcd
efcgdba egcadbf
egcfbda cefbdga
fecagbd febcdag
cgeadbf fbecdag
fabcdeg ecfabgd
fecdabg gcabfde
cgdfbea dfbagec
ecafdbg fdbecag
gbefadc fagecbd
dgfecab baedgcf
facgdbe bgadefc
defabcg fgadbce
egacbdf bcfaegd
bfdegca cgfebad
fadbgce fbdcgae
ecbdfga gcaedbf
abgfced bdcafeg
bcedfga efdagbc
feacbdg dcgabef
daebfgc dbgfcae
bdgecaf bcdaegf
ecdagbf eacgdbf
gbeafcd ecfadbg
gbeafdc bafedcg
bgcdefa ceadfbg
fdcabge agbefdc
bcadegf fgcbdea
efbcgad fbdagce
gbdecfa abefgcd
cabgfde fgbaedc
fdaecgb bfedagc
defcagb aegbcdf
adbfgce geabdcf
faedbgc fcdeabg
ecdgfab bdcagfe
fdgeacb adcfbge
adgfebc acebfdg
efabcgd cegbfda
bfeacdg dbeagcf
agfedbc gbadecf
fcbgeda egfadcb
eafbgdc ebgdafc
agcdbef aegcbfd
cdfbgae eafcbgd
edabgcf cbdefga
bgadfce cegafbd
aecgdfb ecbfdag
afebgcd bcgdafe
gadbefc ecabgfd
aedfbcg bfgeacd
abgcdfe gbdefca
agbfced caebfdg
fbagdce bdfegac
cbgfaed adgfcbe
deafbcg adcfebg
gdabfce eadgfbc
gecdfba aedbfcg
edcgbfa caefdgb
agefdbc bfcegad
gadbfec fbgceda
cgbdaef bcgadef
cgaefdb facdebg
bcagdfe agefdcb
efdcabg gfdceab
dcfbaeg cbfdgae
bdecgaf efgbacd
bfcdaeg dcbfgea
eagbdcf bacfged
gaedfcb gcefdab
gdacefb cfagdbe
baecgfd becfdag
fegbcda fecadgb
gcdbfae bcgfeda
eacdfgb beacdfg
facbgde cbgeafd
abfdecg gfacebd
dgecfab dbefcga
abfgcde bgfeadc
bdecafg bfcegda
fabedgc edbgacf
fdbagce gcdefba
cbaedfg gbcafed
cfbedag befacgd
ecfabgd bedfcga
dcegfab fgebdac
gfebacd cgfbaed
gbdeafc egafdbc
cdfbeag cfgebda
dcgbaef adgcbfe
cgebafd gfecabd
cafbegd ebacfdg
cdgbafe ecbdfga
cegadfb begfdca
gcfdabe fbcdeag
ecdfgab gfdaebc
cdfgeba gbcfaed
fcgdeab bgadecf
dgafbce dbgcfae
adfcegb adfbgec
bcfeagd bgefdca
adfcgbe cefbagd
bcafgde ceabgfd
cbdfega egbfdca
aebfdcg bcdgaef
edfbgca gfadbec
bfcgead acgdfbe
dbfcgae cafbgde
cafegdb dbefacg
bcgedfa cdagfbe
cgbedaf fbgcead
cedgfba edgfcab
gebacdf gebcfda
gcebdaf dfbaegc
adbfceg abgedfc
aebgfdc bdeagfc
fcbaged cgbdfea
badgfce daebcgf
gfcdabe eagfdcb
abcdfeg acbfdeg
cegdfab dacgbef
dbagcef acefgbd
fecbdag dgcbafe
gaefdcb adgcbef
ebacdfg bgafedc
cbgeafd dgcfaeb
egafbdc gbeadcf
cbdgeaf defcgba
afgdebc efgdcba
cfgedba dcfegab
badfceg afbedcg
dcgfaeb ebgafdc
cdfbgea bgacfed
geabdfc cedgafb
cdafbeg daebgfc
gbecfda bafdgce
decagbf cafgebd
fdcgeba gdebfca
fabcged acbfged
dfcbaeg egdbfac
bgdfcea edfabgc
fgcadbe dcafebg
dgcbaef dfgbace
aebdcgf fcgbade
gcbdafe fabdgce
dbgacfe bcaefdg
gecdbfa egbdacf
dgefbac afgdcbe
cgdabfe defgbac
bcagedf gecbfad
aegfcbd gcbafde
abcdefg agbdcef
dcebgaf geafcdb
dabefgc fdaegcb
bfdacge bfdagec
bagedcf cefgbad
cegbdfa cfaegbd
gebacfd dfcgbea
cdagfeb beafcdg
fabgdce cfdabeg
gfdabec beagfcd
befgacd abdcfeg
edcabfg cfeabdg
dcbeagf bdfgcae
ebgadcf defbcga
gebfacd defagbc
beadfgc beadcgf
bafedgc agdebcf
cegdafb faecgdb
bfdgace febdagc
gfbcdea adbecgf
eabdgfc dgcefab
fbcedga bdeafgc
ebdagcf egcdfba
feadgbc fdaecbg
eacdbfg bagfdce
edgabfc gcbfeda
dgecafb abdfceg
dafebcg cdaegbf
cbfaedg gcbeafd
ebafcdg adbgfec
acdbgfe gbcedaf
eadbfcg efdabgc
fcbaegd bcdgafe
fdeagcb afebdgc
edgcfba gabefdc
dgebafc gefbcda
fedacbg fgbcade
gdbcaef agdfecb
fgedabc dfgecba
afecgbd fbeacgd
fbgaedc afbcegd
agdbfce fcbgeda
gaecbdf bgedacf
gacefbd facbgde
dfecagb gacdebf
adegbcf fdcgeba
gbdafec edacgbf
bgdfeca badefcg
bgfcdae fgcadbe
facedbg gcbefad
dgbfcae beagcfd
bgcadef fdbgcae
becdafg gcfebda
dbfcega gedafcb
dacfgeb bdcgeaf
dafgceb bdacfge
dafbceg ebgdfca
gebadfc fgbeadc
ecfgdba cfagdeb
ebafcgd cedbfag
cfadgeb beafgcd
dgfebca edagbfc
cbdfeag geadbcf
dbafegc dcbgfae
bfgadec facebgd
gacbefd degcfab
dcfgbae geacfbd
aegcfbd fbagdce
gafdbce afdgcbe
fadecgb afbgecd
gcaedfb dcbagfe
fcebdag gbdfcae
baefdcg fcbegad
bgeacdf dcfaebg
daecbfg bcgedaf
dbfagec egcbfda
cdbgeaf ebcdfag
gbcfdea bfeadcg
bgfdace degfbac
cdbafeg dafebcg
egcdabf acbefgd
fdbgcea cdgfeab
cefdgab bgfdcae
edacbfg adgbcfe
gfbedac fdgceab
cfgdbea baedgfc
cebdfga dbeagfc
gfbcead fecabgd
abedcgf aebdgcf
cbedgaf cdfbeag
gadfcbe egfbdac
egdcfba fgcdeab
ebgafcd gfcbade
gacdbef aedbcfg
ecagfdb gebacdf
aegbcfd adfcgbe
cefgabd dcafegb
fbcaged dafegcb
cbdefga cfgdeba
bacdgef gfdbcea
acgdebf efadgcb
badecgf cdagbef
dbacgef gacdefb
cgbdfae decfbga
abdfgce fbdegac
gcadfbe bedcgfa
ebfcgad bgfdeca
gbedafc gfbaedc
cagfedb cdabfge
adefcbg fbgdaec
eagcbfd gdcfabe
dgbecaf bdcfgea
gaebfcd bedgacf
ecfbdag agecbfd
bdcaefg cgabfed
dacbfeg bcefgda
fgbaced bdfceag
gfceadb aedgcfb
becagfd bagefcd
acfbegd fgdebca
dgfebac cgbfeda
bacdefg fcdgeab
efbadgc adgfceb
egacdfb bcegdfa
egbcafd ecabfgd
dfegabc afgedcb
fagbedc fagecdb
cbedagf dcagfeb
gbaedfc debcafg
adbegcf edgbacf
aecgfdb cebagdf
cbfegda fedgbca
cedfbag cfdbage
efgacbd fgdbeca
aebcfgd egbcadf
cbfdgae fbgecad
febcgda dfeacbg
dcbgfae afebcdg
abefgdc cbadfeg
acdgbef eabfdcg
abfgdce ebdgfca
degcbfa afcedgb
edgafcb fecdbag
cdbfeag gbfdcae
fegdbca fcedabg
fcadbeg gdcebaf
fecgbad dcgbafe
abfcedg fdabgec
caegbdf fdbegac
gcaebdf bfdegac
ecfgadb cafdgeb
ecbdgaf adcgfeb
acgbdef dbfgcea
efgbcad gdfbeac
cdbagef faebcdg
abdcgef bedacfg
efgabdc edcfbga
dfecbga cbdfega
abgedfc gfacedb
edgcfab cdefgba
agdecfb gdfceab
bafdgec gbefadc
egafdbc bcfedag
afgedbc fabcgde
fgdebac deagfbc
bfdcaeg bdeacfg
gbfedac abfegdc
agebfcd fgeacbd
edafcgb bcagefd
edfgcba dfgebca
feabcdg bgaefdc
efdbgca cdbaegf
cfagdbe ebacdgf
edbfcga abgcdfe
dgeafbc fgabdce
fecdgba fbcgdae
dabcefg fecbadg
fgdcbae bcadgfe
bcdfeag gfeacdb
cdefbga cbdfeag
cgbadfe agbfdec
bcadfge fcabegd
cfdagbe cgdfbea
cbgefad cbeadgf
cbdafeg gdafebc
aedgcfb bdcfgae
afcbdge cgefadb
cfadgbe dbafgec
fecdbga aebgfdc
aegcdbf gfacbde
gecabfd bgacdef
bdeacfg fdgebac
abcgfde egcfabd
dcfbega dbgafec
egdfabc bcafged
dcgbfae bcgfdea
gdcbfea cfdaebg
cgedbaf aebcfgd
ecbadfg dbcegaf
fcgebad cbgefad
cbaegfd fdgecba
cabdfeg ebfdgac
fbgecad cabgdef
dabecgf badcefg
agfbced cadbefg
eagfdcb gadcbfe
bcfdega cdgfabe
cfagebd fcegabd
cfbdgea dcfabeg
fbdegca cefgabd
bedagcf fegdbac
ebadgcf bgfcaed
gbacfde bfegacd
dfcebga cfbagde
fdebgca bgdcaef
fbgdcae caebfgd
fdgcaeb egfdcba
eagdfbc gabfcde
abgfecd dfcgeab
dcafgeb fceagdb
agdcebf aefdbcg
gbcafed gfadceb
cgbeafd cfgdabe
badfgce defbgca
dgafebc dcbfeag
agfdcbe dagbfce
febacgd adgcefb
cabegfd edcfabg
fegacbd dgfaceb
adbefgc edagfbc
feadbcg gbefdac
dcbgaef bcdgefa
dafgebc gdefbca
adcfbge gfbdcae
debacgf cfdabge
cdbfage bagcfed
aedgbfc cgfadbe
feabdgc bcgfade
efcadgb ecfdgba
cfbdeag gcaebdf
fcdgbae cagedbf
ebgacdf gdfaebc
fgabecd fcegbad
cbdfgea abecfdg
acgbfde eafdgcb
bfdgaec abdgcfe
dcebafg aecbgdf
feacgbd dfbgcae
dgecfba ecbdgaf
fgceadb gfecadb
fedbgca dgfceab
ecgfdab fbcadeg
cgdbeaf cbedgaf
gdaebfc cdaebfg
caebfgd fcabdge
fbegcad dbagfce
afcdbge eabcfgd
ebgfacd fagbcde
dfebacg egbfcad
gabedcf cdfgeba
eabfcgd eagbfdc
bfadecg edcbafg
aegdbcf gabecdf
ebgfadc fegadbc
defbcga afedcgb
aebcgdf cbedgfa
facdebg eafcbdg
gbafced gabcedf
fdabceg edfcgba
gafcbed baecdgf
dfbceag adefbgc
bagdcfe cgabdfe
bcgeadf fcgbead
dbcagef afdcebg
cfgdeba acbdegf
eafdcgb cafbegd
fdbaecg acfgdbe
fbcaegd fedgacb
afbecgd bafecgd
bfaegdc geacdbf
dceagbf cbfadeg
fdgceba bfgcaed
bfadgce aebgfcd
bcfegad gbefacd
dbfegca defagcb
gbdface acbegfd
gbceadf fdgbeca
cabefgd dgefcba
dagebfc fcgebad
efgdcba bedcagf
gdabecf bcefdag
facbdeg efbcadg
fbcdaeg afdecgb
abedfgc edgcbaf
822
ebdagcf egcdfba, egdcfba fgcdeab
fgbadce gbcfade, efbadgc adgfceb
bfdcaeg bdeacfg, fabgcde bcegdaf
gecabfd bgacdef, fbeadgc fbcaedg
gdacefb cfagdbe, fabcgde fbgcdea
dbfcgae cafbgde, fcedgba gcadbef
bgaedcf cagdfeb, aedfbcg bfgeacd
dfebagc dcaefbg, bgcaefd adbcfeg
gbdecfa abefgcd, dgabefc ceafdgb
fgdebac deagfbc, edgcfab cdefgba
cfbaged cbdfaeg, dcbeagf bdfgcae
bdfcaeg afgcebd, egfbcda bdfgace
edgcfba gabefdc, cfagebd fcegabd
abecfgd abdgcef, ebgfacd fagbcde
cgebafd gfecabd, debcafg gecfdab
cfagbed bgfcead, cegbdfa cfaegbd
bfdcaeg bdeacfg, dfebacg egbfcad
gbdeafc egafdbc, afegcdb gdcfbea
bacdgef gfdbcea, edgbafc gecfadb
eagcbdf gcadebf, dbefgca aedfcbg
cfgdaeb dfagbec, fgedabc dfgecba
egbcafd ecabfgd, geabcdf gdaecfb
aecdfbg dacbfeg, dafgebc gdefbca
cebagfd dfbegca, bgaefdc ecdgbaf
dbeafgc ebafcgd, gabdefc bfceadg
badfceg afbedcg, adcebfg agbfedc
becdafg gcfebda, fdgbace ebcgadf
gdbafec cdbefga, dgafbce dbgcfae
bdcaefg cgabfed, dcfbaeg cbfdgae
aebfdcg bcdgaef, daecbfg bcgedaf
decagbf cafgebd, abfecgd cbgdfae
acgbdef dbfgcea, dgaefbc ebdagcf
dafebcg cdaegbf, ecdgafb fgbedac
efgacdb fbagcde, feadgbc fdaecbg
ebgcdfa bcgedfa, cfbgead cagbdef
dbcagef afdcebg, cfagdbe ebacdgf
bcgaedf eacdbfg, defagbc aegbdcf
bdecgaf efgbacd, ebdagcf egcdfba
adecgfb febgcda, gcefdba bcdgeaf
becgfda cedbfga, cgaefdb facdebg
afcgbed bcagfed, becagfd bagefcd
cbagfde dbgacef, dacfgeb bdcgeaf
cgdabfe defgbac, efcbagd dfaecgb
cbagedf dcafgbe, dgcbaef dfgbace
bafgedc adgbecf, fdbgaec fgbadce
ecbdfga gcaedbf, dbcafeg afcgbde
cafbgde gcbdafe, cbdgeaf defcgba
agebfcd fgeacbd, deabcfg bcdagef
dgacbfe dfgbaec, edfgcab cabgedf
cbdfeag geadbcf, fgdcbae bcadgfe
egafbdc gbeadcf, dcebafg aecbgdf
abcgefd abcdgef, acgbfde eafdgcb
dbafegc dcbgfae, cdgebfa begfacd
cabefdg afbgdce, acdbgfe gbcedaf
fgabecd fcegbad, fdaecgb bfedagc
cbadfge gbcdfea, feagdbc abegdcf
fcadbeg gdcebaf, fcbaegd bcdgafe
fbegcad dbagfce, cgbdfae decfbga
aegdbcf gabecdf, edfacbg faegbcd
fcbaegd bcdgafe, aegfdcb dgfbeca
gcbfdea ebcagdf, gaefdcb adgcbef
dbecgaf efcgdab, aecfgbd becgafd
gdabecf bcefdag, ebacdfg bgafedc
gacfebd acgbefd, abedfgc edgcbaf
ecgfdab fbcadeg, caebdgf edabfgc
edfbacg dfacegb, afebcgd cbfdage
cebdfag dbfgcae, afegdbc bafcegd
aecgbfd gabfced, dafgceb bdacfge
cbdfgea abecfdg, aecbfdg cbfdega
gefadcb defgbca, aedgcfb bdcfgae
abdfgce fbdegac, defbacg aedfbcg
dfbaegc fadbceg, eadfbgc cgfbdea
dcagefb abecfgd, dfebacg egbfcad
gebcdfa edbcfga, cdagfeb beafcdg
egdcfab egfbdca, cgdabfe defgbac
efgadbc gbaefcd, dbfagec egcbfda
gbceadf fdgbeca, cgfabed gacbdfe
bdgaecf afdecbg, gdbefca bdefacg
cdbegfa gbecfad, adefcbg fbgdaec
fdgcaeb egfdcba, acedbfg efacdgb
debfacg dacbgef, aebdcgf fcgbade
gafcbed baecdgf, bfdaceg febgcad
ecdgbaf afbcged, cgebafd gfecabd
fcbegad dcgebfa, cegbdfa cfaegbd
gbcefad efgcabd, dfbcgea acbfegd
cfgdeba acbdegf, fdbacge bfacgde
fdeabcg dcbeagf, afbcgde ecadbfg
fecgadb bagfdec, eafbcgd bfagced
abfdgec ebafdcg, cgfabed gacbdfe
agedbcf cedbafg, dfbcgea acbfegd
afgbcde adcefgb, dgcbaef dfgbace
debgcfa dgafbce, cbdfgea abecfdg
caegdfb gbdafec, edbcfga acdgfbe
edbcgfa dagebcf, ecbdfga gcaedbf
